TransportTaxiBook,TransportTaxiBookType,TransportTaxiBookOrigin,TransportTaxiBookDestination,TransportTaxiBookTime,context_uber
Drive me to that place by uber Pool,uber Pool,,that place,,
Drive me to that place by uber,uber,,that place,,
Drive me to that place by uberGo,uberGo,,that place,,
Drive me to that place by uberx,uberx,,that place,,
Drive me to that place by uberxl,uberxl,,that place,,
Drive me to that place,,,that place,,
Drop me at world trade center Colombo 01,,,world trade center Colombo 01,,
fetch a cab on uber for Madison square garden,uber,,Madison square garden,,
Find a book a cab going to Abuja today.,,,Abuja,,
Find a ride home,,,home,,
Find a uber.,uber,,,,
find an ola and book it for me,,,,,
find an uber home for me,uber,,home,,
Find an Uber to get me to the airport,Uber,,airport,,
Find me a lyft please,,,,,
Find me a Uber to ride home,Uber,,home,,
Find me an UberXL to MSP.,UberXL,,MSP,,
find me the closest cab near my way.,,,,,
find me the closest taxi near my way.,,,,,
Find me Uber cab for Mumbai airport for today,Uber,,Mumbai airport,today,
Find me Uber taxi for Mumbai airport for today,Uber,,Mumbai airport,today,
get a car there,,,there,,
get a car to my earlier location ,,,,,earlier
get a car to my earlier ride ,,,,,earlier
get a car to my earlier trip ,,,,,earlier
get a car to my last location ,,,,,last
get a car to my last ride ,,,,,last
get a car to my last trip ,,,,,last
get a car to my previous location ,,,,,previous
get a car to my previous ride ,,,,,previous
get a car to my previous trip ,,,,,previous
Get a hold of an uber pool to take me to work,uber pool,,work,,
Get a hold of an UberGo to take me to work,UberGo,,work,,
Get a hold of an UberPool to take me to work,UberPool,,work,,
Get a hold of an UberX to take me to work,UberX,,work,,
get a ride there,,,there,,
get a ride to my earlier location ,,,,,earlier
get a ride to my earlier ride ,,,,,earlier
get a ride to my last location ,,,,,last
get a ride to my last ride ,,,,,last
get a ride to my previous location ,,,,,previous
get a ride to my previous ride ,,,,,previous
get a trip to my earlier trip ,,,,,earlier
get a trip to my last trip ,,,,,last
get a trip to my previous trip ,,,,,previous
get a uber x please,uber x,,,,
Get an uber Black from 117 Nobu Malbu to guisados,uber Black,117 Nobu Malbu,guisados,,
Get an uber pool to 537  st andrews place,uber pool,,537 st andrews place,,
Get an uber pool to 6543 west Hollywood,uber pool,,6543 west Hollywood,,
Get an uber pool to 709 n lane street,uber pool,,709 n lane street,,
Get an uber pool to 76 m street,uber pool,,76 m street,,
Get an uber pool to 7th and K st,uber pool,,7th and K st,,
Get an uber pool to 987 K st,uber pool,,987 K st,,
Get an uber pool to Broadway and 76th,uber pool,,Broadway and 76th,,
Get an uber pool to cedars Sinai hospital,uber pool,,cedars Sinai hospital,,
Get an uber pool to Chinatown square,uber pool,,Chinatown square,,
Get an uber pool to Clinton and president,uber pool,,Clinton and president,,
Get an uber pool to grant park,uber pool,,grant park,,
Get an uber pool to guisados,uber pool,,guisados,,
Get an uber pool to lax,uber pool,,lax,,
Get an uber pool to London Heathrow,uber pool,,London Heathrow,,
Get an uber pool to O'Hare,uber pool,,O'Hare,,
Get an uber pool to the mint,uber pool,,mint,,
Get an uber pool to the perch,uber pool,,perch,,
Get an uber pool to the us bank building,uber pool,,us bank building,,
Get an uber pool to the white house,uber pool,,white house,,
Get an uber pool to Venice beach,uber pool,,Venice beach,,
get an uber pool,uber pool,,,,
get an uber there,uber,,there,,
get an uber there,uber,,there,,
get an uber to get there,uber,,there,,
get an uber to get to that one,uber,,that one,,
get an uber to get to that place,uber,,that place,,
get an uber to get to that restaurant,uber,,that restaurant,,
get an uber to get to that updated location,uber,,that,,
get an uber to get to that venue,uber,,that venue,,
get an uber to get to the first one,uber,,the first one,,
get an uber to get to the last one,uber,,the last one,,
get an uber to get to the second one,uber,,the second one,,
get an uber to get to this updated location,uber,,this,,
get an uber x,uber x,,,,
Get an UberGo to 537  st andrews place,UberGo,,537 st andrews place,,
Get an UberGo to 6543 west Hollywood,UberGo,,6543 west Hollywood,,
Get an UberGo to 709 n lane street,UberGo,,709 n lane street,,
Get an UberGo to 76 m street,UberGo,,76 m street,,
Get an UberGo to 7th and K st,UberGo,,7th and K st,,
Get an UberGo to 987 K st,UberGo,,987 K st,,
Get an UberGo to Broadway and 76th,UberGo,,Broadway and 76th,,
Get an UberGo to cedars Sinai hospital,UberGo,,cedars Sinai hospital,,
Get an UberGo to Chinatown square,UberGo,,Chinatown square,,
Get an UberGo to Clinton and president,UberGo,,Clinton and president,,
Get an UberGo to grant park,UberGo,,grant park,,
Get an UberGo to guisados,UberGo,,guisados,,
Get an UberGo to lax,UberGo,,lax,,
Get an UberGo to London Heathrow,UberGo,,London Heathrow,,
Get an UberGo to O'Hare,UberGo,,O'Hare,,
Get an UberGo to the mint,UberGo,,mint,,
Get an UberGo to the perch,UberGo,,perch,,
Get an UberGo to the us bank building,UberGo,,us bank building,,
Get an UberGo to the white house,UberGo,,white house,,
Get an UberGo to Venice beach,UberGo,,Venice beach,,
Get an UberPool to 537  st andrews place,UberPool,,537 st andrews place,,
Get an UberPool to 6543 west Hollywood,UberPool,,6543 west Hollywood,,
Get an UberPool to 709 n lane street,UberPool,,709 n lane street,,
Get an UberPool to 76 m street,UberPool,,76 m street,,
Get an UberPool to 7th and K st,UberPool,,7th and K st,,
Get an UberPool to 987 K st,UberPool,,987 K st,,
Get an UberPool to Broadway and 76th,UberPool,,Broadway and 76th,,
Get an UberPool to cedars Sinai hospital,UberPool,,cedars Sinai hospital,,
Get an UberPool to Chinatown square,UberPool,,Chinatown square,,
Get an UberPool to Clinton and president,UberPool,,Clinton and president,,
Get an UberPool to grant park,UberPool,,grant park,,
Get an UberPool to guisados,UberPool,,guisados,,
Get an UberPool to lax,UberPool,,lax,,
Get an UberPool to London Heathrow,UberPool,,London Heathrow,,
Get an UberPool to O'Hare,UberPool,,O'Hare,,
Get an UberPool to the mint,UberPool,,mint,,
Get an UberPool to the perch,UberPool,,perch,,
Get an UberPool to the us bank building,UberPool,,us bank building,,
Get an Uber Pool to the us bank building from 89 B Nahuenga blvd,Uber Pool,89 B Nahuenga blvd,us bank building,,
Get an UberPool to the white house,UberPool,,white house,,
Get an UberPool to Venice beach,UberPool,,Venice beach,,
Get an uberx to 537  st andrews place,uberx,,537 st andrews place,,
Get an uberx to 6543 west Hollywood,uberx,,6543 west Hollywood,,
Get an uberx to 709 n lane street,uberx,,709 n lane street,,
Get an uberx to 76 m street,uberx,,76 m street,,
Get an uberx to 7th and K st,uberx,,7th and K st,,
Get an uberx to 987 K st,uberx,,987 K st,,
Get an uberx to Broadway and 76th,uberx,,Broadway and 76th,,
Get an uberx to cedars Sinai hospital,uberx,,cedars Sinai hospital,,
Get an uberx to Chinatown square,uberx,,Chinatown square,,
Get an uberx to Clinton and president,uberx,,Clinton and president,,
Get an uberx to grant park,uberx,,grant park,,
Get an uberx to guisados,uberx,,guisados,,
Get an uberx to lax,uberx,,lax,,
Get an uberx to London Heathrow,uberx,,London Heathrow,,
Get an uberx to O'Hare,uberx,,O'Hare,,
Get an uberx to the mint,uberx,,mint,,
Get an uberx to the perch,uberx,,perch,,
Get an uberx to the us bank building,uberx,,us bank building,,
Get an uberx to the white house,uberx,,white house,,
Get an uberx to Venice beach,uberx,,Venice beach,,
get me  there,,,there,,
get me  to my earlier location ,,,,,earlier
get me  to my earlier ride ,,,,,earlier
get me  to my earlier trip ,,,,,earlier
get me  to my last location ,,,,,last
get me  to my last ride ,,,,,last
get me  to my last trip ,,,,,last
get me  to my previous location ,,,,,previous
get me  to my previous ride ,,,,,previous
get me  to my previous trip ,,,,,previous
Get me a cab to the SF Airport.,,,SF airport,,
Get me a car from Uber to take me to the airport.,Uber,,airport,,
Get me a Grab Car to take me to the National Library,,,National Library,,
Get me a ride home.,,,home,,
Get me a ride with Uber to home,Uber,,home,,
Get me a ride with uber to the Toyota center,uber,,Toyota center,,
Get me a uber car now to go to the park,uber,,park,,
get me a uber there,uber,,there,,
Get me a Uber to 2009 Wrightsville beach.,Uber,,Wrightsville beach,,
get me a uber to that one,uber,,that one,,
get me a uber to that place,uber,,that place,,
get me a uber to that updated location,uber,,that,,
get me a uber to this updated location,uber,,this,,
Get me an Lyft Line to Bank of America,,,Bank of America,,
Get me an Uber Black from 32 S curson avenue to LAX airport,Uber Black,32 S curson avenue,LAX airport,,
Get me an Uber black ride to koramangla,Uber black,,koramangla,,
get me an uber black,uber black,,,,
Get me an Uber cab to Miggins Street,Uber,,Miggins Street,,
Get me an uber español ride to 4th Avenue,uber español,,4th Avenue,,
Get me an Uber from 432 S curson avenue to LAX airport,Uber,432 S curson avenue,LAX airport,,
Get me an Uber español from 809 N cahuenga blvd to 432 S curson avenue,Uber español,809 N cahuenga blvd,432 S curson avenue,,
Get me an Uber go ride to tin factory,Uber go,,tin factory,,
get me an uber over that updated location,uber,,that,,
get me an uber over there,uber,,there,,
get me an uber over this updated location,uber,,this,,
get me an uber over to that one,uber,,that one,,
get me an uber over to that place,uber,,that place,,
get me an uber over to that restaurant,uber,,that restaurant,,
get me an uber over to that venue,uber,,that venue,,
get me an uber over to that,uber,,that,,
get me an uber over to the first one,uber,,the first one,,
get me an uber over to the first one,uber,,the first one,,
get me an uber over to this,uber,,this,,
Get me an uber pool home,uber pool,,home,,
Get me an uber pool to 3029 south Quinn,uber pool,,3029 south Quinn,,
Get me an uber pool to 537 n st andrews place,uber pool,,n st andrews place,,
Get me an uber pool to 6211 hill street,uber pool,,6211 hill street,,
Get me an uber pool to 72 w sunset,uber pool,,72 w sunset,,
Get me an uber pool to 72553 Oregon street,uber pool,,72553 Oregon street,,
Get me an uber pool to 7263 Robertson,uber pool,,7263 Robertson,,
Get me an uber pool to 7281 s Halsted,uber pool,,7281 s Halsted,,
Get me an uber pool to 765 L street,uber pool,,765 L street,,
Get me an uber pool to 8371 doheny avenue,uber pool,,8371 doheny avenue,,
Get me an uber pool to 86 melrose place,uber pool,,86 melrose place,,
Get me an uber pool to 907 calbert st,uber pool,,907 calbert st,,
Get me an uber pool to 920 main,uber pool,,920 main,,
Get me an uber pool to 97 Hudson boulevard,uber pool,,97 Hudson boulevard,,
Get me an uber pool to 996 park lane,uber pool,,996 park lane,,
Get me an uber pool to Griffith Park,uber pool,,Griffith park,,
Get me an uber pool to Komodo's in Venice,uber pool,,komodo's in Venice,,
Get me an uber pool to Malibu Canyon,uber pool,,Malibu canyon,,
Get me an uber pool to Nobu ,uber pool,,nobu,,
Get me an uber pool to Nobu Malibu,uber pool,,nobu Malibu,,
Get me an uber pool to the Line hotel,uber pool,,line hotel,,
Get me an uber pool to Vons,uber pool,,Vons,,
Get me an Uber Pool to work,Uber Pool,,work,,
get me an uber pool,uber pool,,,,
Get me an Uber ride to 5th street and Main.,Uber,,5th Street and Main,,
get me an uber suv,uber suv,,,,
get me an uber suv,uber suv,,,,
get me an uber there,uber,,there,,
get me an uber there,uber,,there,,
get me an uber there,uber,,there,,
get me an uber to  that one,uber,,that one,,
get me an uber to  that one,uber,,that one,,
get me an uber to  that place,uber,,that place,,
get me an uber to  that restaurant,uber,,that restaurant,,
get me an uber to  that venue,uber,,that venue,,
get me an uber to  the first one,uber,,the first one,,
get me an uber to  the last one,uber,,the last one,,
get me an uber to  the second one,uber,,the second one,,
Get me an uber to 100 south main street,uber,,100 south main street,,
Get me an uber to 3029 S Quinn,uber,,3029 s Quinn,,
Get me an uber to 35th and Park avenue,uber,,35th and park avenue,,
Get me an uber to 555 Jones Avenue,uber,,555 jones avenue,,
Get me an uber to 6512 Main,uber,,6512 main,,
Get me an uber to 809 N Cahuenga Blvd,uber,,809 n cahuenga blvd,,
Get me an uber to 9902 w sunset,uber,,9902 w sunset,,
Get me an uber to central park west,uber,,central park west,,
Get me an uber to city hall,uber,,city hall,,
Get me an uber to dodger stadium,uber,,dodger stadium,,
Get me an Uber to fifth and oak,Uber,,fifth and oak,,
Get me an uber to fifth avenue,uber,,fifth avenue,,
get me an uber to go home,uber,,home,,
Get me an uber to LAX,uber,,LAX,,
Get me an uber to long beach airport,uber,,long beach airport,,
Get me an uber to Madison square garden,uber,,Madison square garden,,
Get me an uber to Mars Bar,uber,,Mars Bar,,
get me an uber to my earlier location ,uber,,,,earlier
get me an uber to my earlier ride ,uber,,,,earlier
get me an uber to my earlier trip ,uber,,,,earlier
get me an uber to my last location ,uber,,,,last
get me an uber to my last ride ,uber,,,,last
get me an uber to my last trip ,uber,,,,last
get me an uber to my previous location ,uber,,,,previous
get me an uber to my previous ride ,uber,,,,previous
get me an uber to my previous trip ,uber,,,,previous
Get me an uber to pico and Robertson,uber,,pico and Robertson,,
Get me an uber to Santa Monica pier,uber,,Santa Monica pier,,
Get me an uber to shake shack,uber,,shake shack,,
Get me an uber to Starbucks on sunset,uber,,Starbucks on sunset,,
Get me an uber to sunset and vine,uber,,sunset and vine,,
Get me an Uber to take me to Kiwanis Park,Uber,,Kiwanis Park,,
Get me an Uber to take me to Madison Square Garden.,Uber,,Madison Square Garden,,
get me an uber to that one,uber,,that one,,
get me an uber to that place,uber,,that place,,
get me an uber to that place,uber,,that place,,
get me an uber to that restaurant,uber,,that restaurant,,
get me an uber to that updated location,uber,,that,,
get me an uber to that updated location,uber,,that,,
get me an uber to that updated location,uber,,that,,
get me an uber to that updated location,uber,,that,,
get me an uber to that updated location,uber,,that,,
get me an uber to that venue,uber,,that venue,,
get me an uber to that,uber,,that,,
get me an uber to that,uber,,that,,
Get me an uber to the airport,uber,,airport,,
Get me an Uber to the corner of 4th and Monroe.,Uber,,corner of 4th and Monroe,,
Get me an uber to the downtown Marriott,uber,,downtown Marriott,,
get me an uber to the first one,uber,,the first one,,
get me an uber to the first one,uber,,the first one,,
Get me an uber to the grove mall,uber,,grove mall,,
Get me an uber to the grove,uber,,grove,,
Get me an uber to the Hilton LAX,uber,,Hilton lax,,
Get me an uber to the long beach convention center,uber,,long beach convention center,,
Get me an uber to the nearest In and Out,uber,,In and Out,,
Get me an Uber to the nearest Thai Restaurant.,Uber,,Thai Restaurant,,
Get me an uber to the Poke Shack,uber,,poke shack,,
get me an uber to the superdome,uber,,superdome,,
get me an uber to there,uber,,there,,
get me an uber to there,uber,,there,,
get me an uber to this updated location,uber,,this,,
get me an uber to this,uber,,this,,
get me an uber to this,uber,,this,,
Get me an uber to Venice beach,uber,,Venice beach,,
Get me an uber to Walgreens,uber,,Walgreens,,
get me an uber,uber,,,,
Get me an UberBlack from 32 curson road to LAX airport,UberBlack,32 curson road,LAX airport,,
Get me an UberGo home,UberGo,,home,,
Get me an UberGo to 3029 south Quinn,UberGo,,3029 south Quinn,,
Get me an UberGo to 537 n st andrews place,UberGo,,n st andrews place,,
Get me an UberGo to 6211 hill street,UberGo,,6211 hill street,,
Get me an UberGo to 72 w sunset,UberGo,,72 w sunset,,
Get me an UberGo to 72553 Oregon street,UberGo,,72553 Oregon street,,
Get me an UberGo to 7263 Robertson,UberGo,,7263 Robertson,,
Get me an UberGo to 7281 s Halsted,UberGo,,7281 s Halsted,,
Get me an UberGo to 765 L street,UberGo,,765 L street,,
Get me an UberGo to 8371 doheny avenue,UberGo,,8371 doheny avenue,,
Get me an UberGo to 86 melrose place,UberGo,,86 melrose place,,
Get me an UberGo to 907 calbert st,UberGo,,907 calbert st,,
Get me an UberGo to 920 main,UberGo,,920 main,,
Get me an UberGo to 97 Hudson boulevard,UberGo,,97 Hudson boulevard,,
Get me an UberGo to 996 park lane,UberGo,,996 park lane,,
Get me an UberGo to Griffith Park,UberGo,,Griffith park,,
Get me an UberGo to Komodo's in Venice,UberGo,,komodo's in Venice,,
Get me an UberGo to Malibu Canyon,UberGo,,Malibu canyon,,
Get me an UberGo to Nobu ,UberGo,,nobu,,
Get me an UberGo to Nobu Malibu,UberGo,,nobu Malibu,,
Get me an UberGo to the Line hotel,UberGo,,line hotel,,
Get me an UberGo to Vons,UberGo,,Vons,,
Get me an UberPool home,UberPool,,home,,
Get me an UberPool to 3029 south Quinn,UberPool,,3029 south Quinn,,
Get me an UberPool to 537 n st andrews place,UberPool,,n st andrews place,,
Get me an UberPool to 6211 hill street,UberPool,,6211 hill street,,
Get me an UberPool to 72 w sunset,UberPool,,72 w sunset,,
Get me an UberPool to 72553 Oregon street,UberPool,,72553 Oregon street,,
Get me an UberPool to 7263 Robertson,UberPool,,7263 Robertson,,
Get me an UberPool to 7281 s Halsted,UberPool,,7281 s Halsted,,
Get me an UberPool to 765 L street,UberPool,,765 L street,,
Get me an UberPool to 8371 doheny avenue,UberPool,,8371 doheny avenue,,
Get me an UberPool to 86 melrose place,UberPool,,86 melrose place,,
Get me an UberPool to 907 calbert st,UberPool,,907 calbert st,,
Get me an UberPool to 920 main,UberPool,,920 main,,
Get me an UberPool to 97 Hudson boulevard,UberPool,,97 Hudson boulevard,,
Get me an UberPool to 996 park lane,UberPool,,996 park lane,,
Get me an UberPool to Griffith Park,UberPool,,Griffith park,,
Get me an UberPool to Komodo's in Venice,UberPool,,komodo's in Venice,,
Get me an UberPool to Malibu Canyon,UberPool,,Malibu canyon,,
Get me an UberPool to Nobu ,UberPool,,nobu,,
Get me an UberPool to Nobu Malibu,UberPool,,nobu Malibu,,
Get me an UberPool to the Line hotel,UberPool,,line hotel,,
Get me an UberPool to Vons,UberPool,,Vons,,
Get me an UberX from 4 MG Road to Mount Road,UberX,4 MG Road,Mount Road,,
Get me an uberx home,uberx,,home,,
Get me an uberx to 3029 south Quinn,uberx,,3029 south Quinn,,
Get me an uberx to 537 n st andrews place,uberx,,n st andrews place,,
Get me an uberx to 6211 hill street,uberx,,6211 hill street,,
Get me an uberx to 72 w sunset,uberx,,72 w sunset,,
Get me an uberx to 72553 Oregon street,uberx,,72553 Oregon street,,
Get me an uberx to 7263 Robertson,uberx,,7263 Robertson,,
Get me an uberx to 7281 s Halsted,uberx,,7281 s Halsted,,
Get me an uberx to 765 L street,uberx,,765 L street,,
Get me an uberx to 8371 doheny avenue,uberx,,8371 doheny avenue,,
Get me an uberx to 86 melrose place,uberx,,86 melrose place,,
Get me an uberx to 907 calbert st,uberx,,907 calbert st,,
Get me an uberx to 920 main,uberx,,920 main,,
Get me an uberx to 97 Hudson boulevard,uberx,,97 Hudson boulevard,,
Get me an uberx to 996 park lane,uberx,,996 park lane,,
Get me an uberx to Griffith Park,uberx,,Griffith park,,
Get me an uberx to Komodo's in Venice,uberx,,komodo's in Venice,,
Get me an uberx to Malibu Canyon,uberx,,Malibu canyon,,
Get me an uberx to Nobu Malibu,uberx,,nobu Malibu,,
Get me an uberx to Nobu,uberx,,nobu,,
Get me an uberx to the Line hotel,uberx,,line hotel,,
Get me an uberx to Vons,uberx,,Vons,,
get me an uber x,uber x,,,,
get me back now,,,,,back
get me back,,,,,back
get me lyft destination Tucson mall,,,Tucson mall,,
get me my car again with same details,,,,,again
get me my car again,,,,,again
get me my ride again with same details,,,,,again
get me my ride again,,,,,again
get me there by uber,uber,,there,,
get me there please,,,there,,
get me there via uber,uber,,there,,
get me there,,,there,,
get me there,,,there,,
Get me to Britney's house,,,Britney's house,,
get me to my earlier location  please,,,,,earlier
get me to my earlier location ,,,,,earlier
get me to my earlier location ,,,,,earlier
get me to my earlier ride  please,,,,,earlier
get me to my earlier ride ,,,,,earlier
get me to my earlier ride ,,,,,earlier
get me to my earlier trip  please,,,,,earlier
get me to my earlier trip ,,,,,earlier
get me to my earlier trip ,,,,,earlier
get me to my last location  please,,,,,last
get me to my last location ,,,,,last
get me to my last location ,,,,,last
get me to my last ride  please,,,,,last
get me to my last ride ,,,,,last
get me to my last ride ,,,,,last
get me to my last trip  please,,,,,last
get me to my last trip ,,,,,last
get me to my last trip ,,,,,last
get me to my previous location  please,,,,,previous
get me to my previous location ,,,,,previous
get me to my previous location ,,,,,previous
get me to my previous ride  please,,,,,previous
get me to my previous ride ,,,,,previous
get me to my previous ride ,,,,,previous
get me to my previous trip  please,,,,,previous
get me to my previous trip ,,,,,previous
get me to my previous trip ,,,,,previous
get me to that one by uber,uber,,that one,,
get me to that one via uber,uber,,that one,,
get me to that place by uber,uber,,that place,,
get me to that place via uber,uber,,that place,,
get me to that restaurant by uber,uber,,that restaurant,,
get me to that restaurant via uber,uber,,that restaurant,,
get me to that updated location by uber,uber,,that,,
get me to that updated location via uber,uber,,that,,
get me to that venue by uber,uber,,that venue,,
get me to that venue via uber,uber,,that venue,,
get me to that via uber,uber,,that,,
get me to the first one by uber,uber,,the first one,,
get me to the first one via uber,uber,,the first one,,
get me to the last one by uber,uber,,the last one,,
get me to the last one via uber,uber,,the last one,,
get me to the second one by uber,uber,,the second one,,
get me to the second one via uber,uber,,the second one,,
get me to this updated location by uber,uber,,this,,
get me to this updated location via uber,uber,,this,,
get me to this via uber,uber,,this,,
get me uber set destination Tucson mall,uber,,Tucson mall,,
get my uber again,,,,,again
get the uber pool,uber pool,,,,
get the UberGo,UberGo,,,,
get the UberPool,UberPool,,,,
get the uberx,uberx,,,,
get there by uber,uber,,there,,
get there via uber,uber,,there,,
get there,,,there,,
get there,,,there,,
get there,,,there,,
get to my earlier location ,,,,,earlier
get to my earlier location,,,,,earlier
get to my earlier location,,,,,earlier
get to my earlier ride ,,,,,earlier
get to my earlier ride,,,,,earlier
get to my earlier ride,,,,,earlier
get to my earlier trip ,,,,,earlier
get to my earlier trip,,,,,earlier
get to my earlier trip,,,,,earlier
get to my last location ,,,,,last
get to my last location,,,,,last
get to my last location,,,,,last
get to my last ride ,,,,,last
get to my last ride,,,,,last
get to my last ride,,,,,last
get to my last trip ,,,,,last
get to my last trip,,,,,last
get to my last trip,,,,,last
get to my previous location ,,,,,previous
get to my previous location,,,,,previous
get to my previous location,,,,,previous
get to my previous ride ,,,,,previous
get to my previous ride,,,,,previous
get to my previous ride,,,,,previous
get to my previous trip ,,,,,previous
get to my previous trip,,,,,previous
get to my previous trip,,,,,previous
get to that one by uber,uber,,that one,,
get to that one via uber,uber,,that one,,
get to that place by uber,uber,,that place,,
get to that place via uber,uber,,that place,,
get to that updated location by uber,uber,,that,,
get to that updated location via uber,uber,,that,,
get to there,,,there,,
get to this updated location by uber,uber,,this,,
get to this updated location via uber,uber,,this,,
get to to my earlier location ,,,,,earlier
get to to my earlier ride ,,,,,earlier
get to to my earlier trip ,,,,,earlier
get to to my last location ,,,,,last
get to to my last ride ,,,,,last
get to to my last trip ,,,,,last
get to to my previous location ,,,,,previous
get to to my previous ride ,,,,,previous
get to to my previous trip ,,,,,previous
get Uber and go to John Hopkins Hospital,Uber,,John Hopkins Hospital,,
Get Uber black ride to koramangla,Uber black,,koramangla,,
get uber black,uber black,,,,
Get uber español ride to Indiranagar,uber español,,Indiranagar,,
Get uber español ride from 432 S curson avenue to Indiranagar,uber español,432 S curson avenue,Indiranagar,,
get uber pool,uber pool,,,,
get uber pool,uber pool,,,,
get uber suv please,uber suv,,,,
get uber suv,uber suv,,,,
get uber there,uber,,there,,
get uber to that one,uber,,that one,,
get uber to that place,uber,,that place,,
get uber to that restaurant,uber,,that restaurant,,
get uber to that updated location,uber,,that,,
get uber to that venue,uber,,that venue,,
get uber to the first one,uber,,the first one,,
get uber to the last one,uber,,the last one,,
get uber to the second one,uber,,the second one,,
get uber to this updated location,uber,,this,,
Get Uber X ride to tin factory,Uber X,,tin factory,,
get uber x,uber x,,,,
get uber pool,uber pool,,,,
get UberGo,UberGo,,,,
get UberPool,UberPool,,,,
get uberx,uberx,,,,
get us there,,,there,,
get us to my earlier location ,,,,,earlier
get us to my earlier ride ,,,,,earlier
get us to my earlier trip ,,,,,earlier
get us to my last location ,,,,,last
get us to my last ride ,,,,,last
get us to my last trip ,,,,,last
get us to my previous location ,,,,,previous
get us to my previous ride ,,,,,previous
get us to my previous trip ,,,,,previous
give me info about cab services available to reach Railway station,,,Railway Station,,
go there please,,,there,,
go there,,,there,,
go there,,,there,,
go there,,,there,,
go to my earlier location  please,,,,,earlier
go to my earlier location ,,,,,earlier
go to my earlier location ,,,,,earlier
go to my earlier location ,,,,,earlier
go to my earlier ride  please,,,,,earlier
go to my earlier ride ,,,,,earlier
go to my earlier ride ,,,,,earlier
go to my earlier ride ,,,,,earlier
go to my earlier trip  please,,,,,earlier
go to my earlier trip ,,,,,earlier
go to my earlier trip ,,,,,earlier
go to my earlier trip ,,,,,earlier
go to my last location  please,,,,,last
go to my last location ,,,,,last
go to my last location ,,,,,last
go to my last location ,,,,,last
go to my last ride  please,,,,,last
go to my last ride ,,,,,last
go to my last ride ,,,,,last
go to my last ride ,,,,,last
go to my last trip  please,,,,,last
go to my last trip ,,,,,last
go to my last trip ,,,,,last
go to my last trip ,,,,,last
go to my previous location  please,,,,,previous
go to my previous location ,,,,,previous
go to my previous location ,,,,,previous
go to my previous location ,,,,,previous
go to my previous ride  please,,,,,previous
go to my previous ride ,,,,,previous
go to my previous ride ,,,,,previous
go to my previous ride ,,,,,previous
go to my previous trip  please,,,,,previous
go to my previous trip ,,,,,previous
go to my previous trip ,,,,,previous
go to my previous trip ,,,,,previous
Go to Uber and book a car to go to Bangalore,Uber,,Bangalore,,
Go to Uber and book a car to go to Chennai,Uber,,Chennai,,
Have a Lyft pick me up and take me to the mall.,,,mall,,
Have a Lyft sent to my house right away.,,,My house,,
Have an uber come take me home,uber,,home,,
Have Uber take me to work,Uber,,work,,
help me to book cab service?,,,,,
hey Aneeda book me a uber cab to McDonalds in Chicago,uber,,Chicago,,
hey Aneeda book uber SUV from Kroger to home,uber SUV,Kroger,home,,
hey Aneeda open uber and book uber SUV for Kroger from home,uber SUV,home,Kroger,,
I need a cab ride to downtown Tampa from Clearwater,,Clearwater,Tampa,,
I need a cab,,,,,
I need a Lyft to Britney's house,,,Britney's house,,
I need a Lyft to Wal-Mart.,,,Wal-Mart,,
I need a ride,,,,,
I need a ride again with same details,,,,,again
I need a ride again,,,,,again
I need a ride home.,,,home,,
I need a ride to the airport.  Book Lyft Line to pick me up at noon.,,,airport,noon,
I need a ride to the library,,,library,,
I need a ride to the surgical center,,,surgical center,,
I need a ride to Town Hall,,,Town hall,,
I need a Taxi ride to downtown Tampa from Clearwater,,Clearwater,Tampa,,
I NEED A UBER TO SUMMIT MALL IN AKRON,UBER,,SUMMIT MALL IN AKRON,,
I need an Uber Black from Indiranagar to Tin Factory,Uber Black,Indiranagar,Tin Factory,,
I need an Uber driver to get to Main Street,Uber,,Main street,,
I need an Uber driver to pick me up at the Triangle Square mall and take me home.,Uber,Triangle Square mall,home,,
I need an Uber for tomorrow to take me to the concert.,Uber,,concert,,
I need an uber now at my current location,uber,,current location,,
I need an Uber Pool,Uber Pool,,,,
I need an Uber ride to Pukinmaki.,Uber,,Pukinmaki,,
I need an uber ride to take me to the capital building right now,uber,,capital building,,
I NEED AN UBER SERVICE TO CHASE BANK ON WEST MARKET STREET,UBER,,CHASE BANK ON WEST MARKET STREET,,
I need an Uber SUV,Uber SUV,,,,
I need an Uber to get to work,Uber,,Work,,
I need an uber to mariner's stadium right now,uber,,mariner's stadium,,
I need an Uber to pick me up in the next half hour.,Uber,,,next half hour,
I need an Uber to take me home.,Uber,,home,,
I need an Uber to take me to the grocery store,Uber,,Grocery store,,
I need an uber,uber,,,,
I need an uberGo,uberGo,,,,
I need an UberXL to the airport.,UberXL,,airport,,
I need an UberXL,UberXL,,,,
I need Lyft Line to JFK International.,,,JFK International,,
I need to book a ride on Uber to downtown Tampa from Clearwater,Uber,Clearwater,Tampa,,
I need to book an Uber service to 22 North Main avenue,Uber,,22 North Main avenue,,
I need to book an Uber to get me home,Uber,,home,,
I need to get to the gas station using Uber,Uber,,gas station,,
I need transport for 4 with luggage to the airport.,,,airport,,
I need you to book me a car ride from Uber to go to Phoenix,Uber,,Phoenix,,
I need you to book me an Uber to go to the movies please.,Uber,,movies,,
I want an uber cab to go to ST street,uber,,ST street,,
I want to book a car with Uber to Windsor.,Uber,,Windsor,,
I want to book a journey with Uber.,Uber,,,,
