WeatherFindQ,WeatherFindCondition,WeatherFindDate,WeatherFindLocation,WeatherFindTime
"Phone, tell me what the weather will be today in Vegas.",,today,Vegas,
How is going to be the weather in Cancun Mexico tomorrow?,,tomorrow,Cancun Mexico,
Can you let me know if it'll be raining over in San Diego on November 11 at 7 PM?,raining,November 11,San Diego,7 pm
"Is it currently raining in Boston, MA?",raining,,"Boston, MA",
Is it snowing in Pittsburgh today?,snowing,today,Pittsburgh,
"What is the current weather for Brooklyn, New York?",,,"Brooklyn, New York",
Is it going to snow today?,snow,today,,
Show weather report of Coimbatore,,,Coimbatore,
Will there be any chance of rain today,rain,today,,
"Assistant, is it going to rain today?",rain,today,,
What is the weather like today?,,today,,
weather report of Madurai,,,Madurai,
Will it be sunny with clear skies today?,sunny with clear skies,today,,
Will it rain today evening.,rain,today,,evening
Get me weather for Jaipur,,,Jaipur,
When is hurricane Mathew likely to hit Miami?,hurricane Mathew,,Miami,
"Is the temperature going to get above freezing today in Falmouth, Massachusetts today?",temperature,today,"Falmouth, Massachusetts",
"""Aneeda, what is the chance for rain today in Hartford?""",rain,today,Hartford,
How is the weather?,,,,
Get weather report for Philadelphia area,,,Philadelphia,
lookup weather conditions in Miami,,,Miami,
It seems cloudy outside. What is the temperature now in Boston ?,temperature,,Boston,
How is the weather today,,,,
What is the weather like today? Is it going to rain?,rain,today,,
Tell me the expected maximum temperature in Bangalore today.,temperature,today,Bangalore,
Find out if it is raining in London on Tuesday at 8 pm.,raining,Tuesday,London,8 pm
Weather status,,,,
What is the Weather for Harrison Maine,,,Harrison Maine,
What is the weather in ambia Indiana on 11/13/2016 at 1 pm is it raining,raining,11/13/2016,ambia Indiana,1 pm
"Tell me about the weather conditions, is it raining?",raining,,,
Will it be raining in NYC today 11/11/2016 at 12pm?,raining,11/11/2016,NYC,12pm
Will it rain on Tuesday in Portland at 4:00?,rain,Tuesday,Portland,4:00
What's the weather like today,,today,,
"Is it going to be raining this afternoon in Sealy, TX?",raining,,"Sealy, TX",afternoon
What's the weather like in Bristol this evening?,,,Bristol,evening
is it raining in Paris,raining,,Paris,
What is the weather like at home?,,,home,
is it going to rain?,rain,,,
"Is it supposed to rain in Hubbard, Ohio on 11/11/16?",rain,11/11/16,"Hubbard, Ohio",
Is current weather rainy?,rainy,,,
What is the weather forecast like today in Hyderabad,,today,Hyderabad,
"Aneeda, what is the weather like for today?",,,,
Current weather for Maryville TN,,,Maryville TN,
what will the temperature be at 8 am today?,temperature,today,,8 am
what is the temperature in Jersey city right now.,temperature,,Jersey city,
Is it hot today,hot,,,
Will it rain this weekend?,rain,weekend,,
How is the weather in my area right now?,,,my area,
How is the weather in thành phố hồ chí minh on 25th of December?,,25th of December,thành phố hồ chí minh,
Will it be sunny this weekend?,sunny,this weekend,,
Will we get a lot of snow in Philadelphia on December 25 at 11 p.m.?,snow,December 25,Philadelphia,11 p.m.
"Aneeda, is it going to rain in Vegas tomorrow?",rain,tomorrow,Vegas,
It is going to rain in Orlando Florida tomorrow?,rain,tomorrow,Orlando Florida,
Tell me the current weather for Boston.,,,Boston,
Will it be sunny today in long beach California,sunny,,long beach California,
Is it raining?,raining,,,
"Give me weather conditions for Scarsdale, NY.",,,"Scarsdale, NY",
Tell me if its going to snow on Friday morning in Manhattan,snow,Friday,Manhattan,morning
what's the weather looking like today?,,today,,
Give weather report of Coimbatore,,,Coimbatore,
Will it rain this week,rain,this week,,
"Assistant, what is the forecast for rain today?",rain,today,,
Let me know when the weather is sunny in Los Angeles.,sunny,,Los Angeles,
will it rain today in Moscow,rain,today,Moscow,
weather condition of Madurai,,,Madurai,
Will it be rainy on Saturday?,rainy,Saturday,,
Will it be a rainy day.,rainy,,,
What is weather now in Jaipur,,,Jaipur,
What are the chances of rain today in San Antonio?,rain,today,San Antonio,
Is there a chance of rain in Maracaibo for today at 6:00 pm,rain,today,Maracaibo,6:00 pm
"""Aneeda, give me the weather forecast for 6:30 tonight in Glastonbury.""",,tonight,Glastonbury,6:30
What is the weather like?,,,,
Is it cold out?,cold,,,
find weather forecast for my location,,,my location,
"Is it supposed to rain on Sunday November 14th in Kilgore, TX?",rain,Sunday November 14th,"Kilgore, TX",
Is it going to rain tomorrow,rain,tomorrow,,
Is it going to be cold this weekend at Virginia Beach?,cold,weekend,Virginia Beach,
Is it going to be cold day after tomorrow in san benedetto val di sambro?,cold,day after tomorrow,san benedetto val di sambro,
Is it going to rain in Atlanta today?,rain,today,Atlanta,
Give the weather information of Florida city on 17th November at 12:23 pm as it is raining or not.,raining,17th November,Florida city,12:23 pm
What are the chances of rain in Bangalore tomorrow?,rain,tomorrow,Bangalore,
Tell me whether the weather is sunny in New York on Monday 2pm.,sunny,Monday,New York,2pm
is it sunny in Madurai by 8 a.m. on 12/11/16,sunny,12/11/16,Madurai,8 a.m.
"Aneeda, can you let me know if it's going to rain in New York City on January 1?",rain,January 1,New York City,
What will be the weather on November 14th in Harrison Maine?,,November 14th,Harrison Maine,
Show me if it's going to snow in New York at 1pm,snow,,New York,1pm
Hi Aneeda will it be raining tomorrow in Bangalore,raining,tomorrow,Bangalore,
is it raining in ambia Indiana on 11/13/2016 at 1 pm,raining,11/13/2016,ambia Indiana,1 pm
How is the weather forecast?,,,,
"do I need to bring an umbrella with me today into Manhattan at 12pm, 11/11/2016?",umbrella,today,Manhattan,12pm
"What is the weather going to be like in Long Beach from Monday to Friday, during the daytime?",,Monday to Friday,Long Beach,daytime
"What's the weather like in Sharon, MA?",,,"Sharon, MA",
Weather in Toronto,,,Toronto,
Tell me if it'll rain in Seattle every Monday at 7PM,rain,Monday,Seattle,
Is there a chance of thunderstorms in Boston today?,thunderstorms,today,Boston,
"Is it raining in Sealy, TX?",raining,,"Sealy, TX",
Any chance of snow in Nottingham on Saturday morning?,snow,Saturday,Nottingham,
"Aneeda, what is the weather today near me?",,,,
Hey Aneeda show me the weather right now at Hyderabad,,,Hyderabad,
What's the weather like today afternoon at the Yankees stadium,,today,Yankees stadium,
is it raining at parkway?,raining,,parkway,
What is the weather like today in Penang?,,today,Penang,
"weather in Atlanta, ga today, now",,today,"Atlanta, ga",
What are the current winter weather warnings today for Waukesha Wisconsin?,winter weather,today,Waukesha Wisconsin,
IS IT GOING TO RAIN TODAY IN HYDERABAD?,RAIN,TODAY,HYDERABAD,
What is the temperature today in New York City?,temperature,,New York City,
is there a chance of rain in los angeles later today?,rain,today,los angeles,
give me the temperature at New York,temperature,,New York,
Is it going to rain in DC today?,rain,today,DC,
Will there be any rain in Puebla today?,rain,today,Puebla,
What temperature is it supposed to be in Phoenix today,temperature,today,Phoenix,
Will it rain today in London?,rain,,London,
what is the weather today in long beach California?,,,long beach California,
Get me the weather report about  in Chennai city,,,Chennai,
"What is today's dew point in Dar es Salaam, Tanzania?",dew point,today,"Dar es Salaam, Tanzania",
is there any chance of  today morning in California,,today,California,
What's the weather like in London,,,London,
"Aneeda, will it be raining tomorrow morning at Washington?",raining,tomorrow,Washington,
Is it rainy on Timor Leste on Monday next week?,rainy,Monday next week,Timor Leste,
Is there a chance of rain at Ooty on 13th Nov,rain,13th Nov,Ooty,
what's the average weather condition in Paris in Dec month,,Dec month,Paris,
Check weather at home right now.,,,home,
How's the weather in New York City today?,,today,New York City,
Hi Aneeda show me weather forecast of Varanasi on 12th November,,12th November,Varanasi,
"Show me the weather in Long Beach, California?",,,"Long Beach, California",
"What is the weather going to be like this Saturday in Rockville, MD?",,Saturday,"Rockville, MD",
Toronto weather,,,Toronto,
Will Florida have a Thunderstorm tomorrow morning?,Thunderstorm,tomorrow,Florida,
Is it raining in Boston?,raining,,Boston,
Is it going to rain today in Rochester?,rain,today,Rochester?,
Is it going to rain tomorrow in Denver?,rain,tomorrow,Denver,
Would it be raining in Newark this Friday evening?,raining,this Friday,Newark,
Is it going to rain tonight after 8 at the Yankees stadium,rain,tonight,Yankees stadium,
tell me right now  how is the weather today at central park?,,today,central park,
is it going to rain today at 5pm in Penang?,rain,today,Penang,
"Atlanta, ga weather, today, now",,today,"Atlanta, ga",
IS HYDERABAD GOING TO HAVE A RAIN TODAY?,RAIN,TODAY,HYDERABAD,
Tell me if it will rain tonight in New York,rain,tonight,New York,
Temperature in New York City?,Temperature,,New York City,
will it rain in Los angeles today afternoon?,rain,today,Los angeles,
tell me the humidity at New York.,humidity,,New York,
Will it snow in Philadelphia tomorrow?,snow,tomorrow,Philadelphia,
If snow will there be in Virginia this weekend.,snow,this weekend,Virginia,
"Will there be rain for Boston on Sunday, November 13?",rain,"Sunday, November 13",Boston,
Is today going to be a rainy day in Puebla?,rainy,today,Puebla,
"Is it supposed to rain anytime today in pueblo, Colorado?",rain,today,"pueblo, Colorado",
What is the weather supposed to be like in Phoenix today,weather,today,Phoenix,
When will it snow again in London?,snow,,London,
"Hey, Aneeda, what is the temperature in Liberty, MS?",temperature,,"Liberty, MS",
display the weather forecast for Bengaluru on 12th November,,12th November,Bengaluru,
Will it rain in Dobbs Ferry today?,rain,today,Dobbs Ferry,
Will it rain today in New York,rain,today,New York,
Is it raining today in Zagreb?,raining,today,Zagreb,
Is it sunny on Fiji on morning this Monday?,sunny,Monday,Fiji,
It seems cloudy. Will it rain today in Boston ?,cloudy,,Boston,
Will it be sunny in Japan in June?,sunny,June,Japan,
what is the chance of rain tomorrow afternoon in San Francisco,rain,tomorrow,San Francisco,afternoon
tell me the weather condition of 11th May 2016 in Mumbai at 12 O' clock,,11th May 2016,Mumbai,12 O' clock
What is the percentage chance of rain at Ooty on 13th Nov,rain,13th Nov,Ooty,
What's the likelihood of rain in Paris at 10th Dec 2016,rain,10th Dec 2016,Paris,
"Did it rain at 3am on Friday, November 11, 2016 in spring hill, Florida",rain,"Friday, November 11, 2016","spring hill, Florida",
What's the weather like at Big Bear this weekend,,this weekend,Big Bear,
what will the weather be like on Sunday,,Sunday,,
Do i need an umbrella,umbrella,,,
Should I get an umbrella,umbrella,,,
Do I need to carry umbrella,umbrella,,,
will it be sunny in Miami on 20th of january,sunny,20th of january,,
Do I need an umbrella?,umbrella,,,
Get today's noon weather for Peru Maine,,today,Peru Maine,noon
What is the weather forecast for Seattle tomorrow noon,,tomorrow,Seattle,noon
"Aneeda, is it going to be sunny on Friday noon in Chicago?",sunny,Friday,Chicago,noon
Will it be a sunny day on Mbabane on noon of November 16?,sunny,November 16,Mbabane,noon
Is it going to be raining today noon in Disneyland,raining,today,Disneyland,noon
Will it rain this noon at Foxhollow Golf course?,rain,,Foxhollow Golf course,noon
snow news Chicago 12 November noon,snow,12 November,Chicago,noon
Washington DC weather on Friday noon,,Friday,Washington DC,noon
Is it going to rain on Tuesday noon in Miami,rain,Tuesday,Miami,noon
Will it rain today in Topeka noon?,rain,today,Topeka,noon
Will the weather be good tomorrow noon in Baltimore,good,tomorrow,Baltimore,noon
"Aneeda, what will the weather be like in Atlanta this noon?",,,Atlanta,noon
is it going to rain in Depok tomorrow noon?,rain,,Depok,noon
What will the temperature be tomorrow noon?,temperature,tomorrow,,noon
"Is it going to be raining this noon in Sealy, TX?",raining,,"Sealy, TX",noon
What time is sunrise tomorrow in Los angeles,sunrise,tomorrow,Los angeles,
what time is sunset today,sunset,today,,
At what time is the sunset today,sunset,today,,
At what time is the sunrise today,sunrise,today,,
At what time is the sun rise tomorrow in chicago,sun rise,tomorrow,chicago,
Get me the sunrise tomorrow in chicago,sunrise,tomorrow,chicago,
Get me the sun rise today in chicago,sun rise,today,chicago,
Get me the sunset time today in chicago,sunset,today,chicago,
when will the  sunset today ?,sunset,today,,
what time was sunrise yesterday in London,sunrise,yesterday,London,
what time is sunset in Norway,sunset,,Norway,
sunrise time in Bangalore,sunrise,,Bangalore,
sunrise time in Arkansas,sunrise,,Arkansas,
will sunrise today?,sunrise,today,,
sunset time on 25th Jan in Chennai,sunset,25th Jan,Chennai,
sunset time on 4th december in LA,sunset,4th december,LA,
sunset time today in LA,sunset,today,LA,
Could you tell the expected sun set time on 25th Jan in Chennai,sun set,25th Jan,Chennai,
When will be the sunset today?,sunset,today,,
when will sunset occur today in New york,sunset,today,New york,
when will the sunset today in UK,sunset,today,UK,
sunset time today,sunset,today,,
when will sunrise tomorrow morning,sunrise,tomorrow,,morning
when will sunrise day after tomorrow morning,sunrise,day after tomorrow,,morning
sunrise time in Agumbe on 20th Feb,sunrise,20th Feb,Agumbe,
will sunset today in  San Fransisco ?,sunset,today,San Fransisco,
Timing of sunset,sunset,,,
Timing of sunrise in Germany tomorrow,sunrise,tomorrow,Germany,
Timing of sunrise in East Hanover new jersey tomorrow,sunrise,tomorrow,East Hanover new jersey,
sunrise in Washington DC,sunrise,,Washington DC,
Tell me the time for sunset in Boston,sunset,,Boston,
Tell me the expected time for sun set in Boston on 30th Jan,sun set,30th Jan,Boston,
When is the sunset today,sunset,today,,
Tell me the sunrise time,sunrise,,,
Tell me sunrise time,sunrise,,,
Tell me sun rise time,sun rise,,,
Tell me sun set time,sun set,,,
Tell me sunset time,sunset,,,
what time will sunrise be on tomorrow,sunrise,tomorrow,,
what time will the sunset tomorrow,sunset,tomorrow,,
sunset in new york,sunset,,new york,
Sunrise in Delhi,Sunrise,,Delhi,
sunset melbourne,sunset,,melbourne,
sunrise in sydney today,sunrise,today,sydney,
Time of sunrise in netherland,sunrise,,netherland,
Time of sun rise in netherland,sun rise,,netherland,
Time of sunset today in philippines,sunset,today,philippines,
What time will the sun set today in philippines,sun set,today,philippines,
What time will sunrise happen today in philippines,sunrise,today,philippines,
When will sunrise in philippines,sunrise,,philippines,
What time is the sunrise?,sunrise,,,
What time is the sun rise?,sun rise,,,
What time is the sun set?,sun set,,,
What time is the sunset?,sunset,,,
What time is the sunset in Santa Monica?,sunset,,Santa Monica,
What time is the sun set in Santa Monica?,sun set,,Santa Monica,
What time is the sunrise in Santa Monica?,sunrise,,Santa Monica,
What time is the sun rise in Santa Monica?,sun rise,,Santa Monica,
What time is the sunrise in Honolulu,sunrise,,Honolulu,
What time will the sun set tonight?,sun set,tonight,,
What time will the sunset tonight?,sunset,tonight,,
What time will the sun rise today?,sun rise,today,,
What time will the sunrise today?,sunrise,today,,
What time did the sun rise in the morning?,sun rise,morning,,
What time did the sunrise in the morning?,sunrise,morning,,
What time does the sun set?,sun set,,,
What time does the sunset?,sunset,,,
What time does the sun rise?,sun rise,,,
What time does the sunrise?,sunrise,,,
What time does the sun set on Hilton Head Island?,sun set,,Hilton Head Island,
What time does the sun rise on Hilton Head Island?,sun rise,,Hilton Head Island,
When is sunset in Santa Monica?,sunset,,Santa Monica,
When is sunrise in Santa Monica on 31st March?,sunrise,31st March,Santa Monica,
when is sunrise in columbia maryland,sunrise,,columbia maryland,
when is sunrise in niagara falls New york,sunrise,,niagara falls New york,
what time sunset will be on December 22nd,sunset,December 22nd,,
what time sun set will be on December 22nd,sun set,December 22nd,,
what time sun rise will be on December 22nd,sun rise,December 22nd,,
what time sunrise will be on December 22nd,sunrise,December 22nd,,
What time will sunset be next Tuesday?,sunset,next Tuesday,,
What time will sun set be next Tuesday?,sun set,next Tuesday,,
What time will sunrise be next week?,sunrise,next week,,
What time will sun rise be next week?,sun rise,next week,,
When is the expected sunset time in Santa Monica?,sunset,,Santa Monica,
When is the expected sun set time in Santa Monica?,sun set,,Santa Monica,
When will the sun set in London,sun set,,London,
When will the sun rise in London,sun rise,,London,
At what time is the sunrise in London on Friday?,sunrise,Friday,London,
What time does the sun rise in Santa Monica?,sun rise,,Santa Monica,
What time does the sunrise in Santa Monica?,sunrise,,Santa Monica,
What is the usual sunrise time in Santa Monica?,sunrise,,Santa Monica,
What is the usual sun rise time in Santa Monica?,sun rise,,Santa Monica,
What is the usual sun set time in Santa Monica?,sun set,,Santa Monica,
What is the usual sunset time in Santa Monica?,sunset,,Santa Monica,
Show me the sunrise timings for?,sunrise,,,
Show me the sun rise timings for?,sun rise,,,
Show me the sun set timings for?,sun set,,,
What is the sunset timings for this week?,sunset,,this week,
What is the typical sunrise time in Santa Monica?,sunrise,,Santa Monica,
What is the sunset timings for next week?,sunset,,next week,
When is the sun rising next week?,sun rising,,next week,
When is the sun setting next week?,sun setting,,next week,
When is the sun rising in Santa Monica?,sun rising,,Santa Monica,
When is the sun setting in Santa Monica?,sun setting,,Santa Monica,
When is the sun setting in Santa Monica next week?,sun setting,next week,Santa Monica,
When is the sun rising in Santa Monica next week?,sun rising,next week,Santa Monica,
When is the sun rising in Santa Monica on Monday?,sun rising,Monday,Santa Monica,
When is the sun setting today,sun setting,today,,
When is the sun rising today,sun rising,today,,
When is the sun setting tonight,sun setting,tonight,,
"What is the weather in Derby, UK",,,"Derby, UK",
"How is the weather in Santa Monica, US",,,"Santa Monica, US",
"What is the weather in Washington, US",,,"Washington, US",
"How is the weather in London, UK",,,"London, UK",
"When is the sun setting in London, UK tonight",sun setting,tonight,"London, UK",
"When is the sun rise in Santa Monica, US on Monday?",sun rise,Monday,"Santa Monica, US",
What is weather forecast,,,,
what time will the sunset tomorrow,sunset,tomorrow,,
what time will be the sunset tomorrow,sunset,tomorrow,,
Do i need an umbrella in florida,umbrella,,florida,
Will i need an umbrella in bangalore tomorrow,umbrella,tomorrow,bangalore,
Will i need an umbrella in bangalore day after tomorrow,umbrella,day after tomorrow,bangalore,
Should I bring an umbrella today in new york,umbrella,today,new york,
Hi do I need coat in Lenoir city today,coat,today,Lenoir city,
What's the weather like in Washington in Monday? Do I need coat?,coat,Monday,Washington,
"do I need to bring coat with me today into Manhattan at 12pm",coat,today,Manhattan,12pm
Do i need coat,coat,,,
Should I get coat,coat,,,
Do I need to carry coat,coat,,,
Do i need coat in florida,coat,,florida,
Do i need umbrella in savanna la mar day after tomorrow,umbrella,day after tomorrow,savanna la mar,
Will i need coat in bangalore tomorrow,coat,tomorrow,bangalore,
Will i need coat in bangalore day after tomorrow,coat,day after tomorrow,bangalore,
Should I bring coat today in new york,coat,today,new york,
Will i need an umbrella day after tomorrow in bangalore,umbrella,day after tomorrow,bangalore,
Will i need coat day after tomorrow in bangalore,coat,day after tomorrow,bangalore,
what is weather condition day after tomorrow in Santa Monica,,day after tomorrow,Santa Monica,
"What is the weather day after tomorrow in Washington, US",,day after tomorrow,"Washington, US",
"How is the weather day after tomorrow in London, UK",,day after tomorrow,"London, UK",
Do i need coat day after tomorrow in New York,coat,day after tomorrow,New York,
Should I get coat day after tomorrow,coat,day after tomorrow,,
What time will sunrise be day after tomorrow?,sunrise,day after tomorrow,,
What time day after tomorrow will be the sun rise?,sun rise,day after tomorrow,,
what will be the weather condition day after tomorrow in New Jersey,,day after tomorrow,New Jersey,
what's the weather in london the day after tomorrow,,day after tomorrow,london,
is it going to rain the day after tomorrow,rain,day after tomorrow,,
what is the weather like in boston the day after tomorrow,,day after tomorrow,boston,
tell me weather in los angeles on the day after tomorrow,,day after tomorrow,los angeles,
what's the forecast for the day after tomorrow,,day after tomorrow,,
what's the temperature like the day after tomorrow,temperature,day after tomorrow,,
When is the sun going to set in Hawaii,sun going to set,,Hawaii,
When is sun going to rise in Bangalore day after tomorrow,sun going to rise,day after tomorrow,Bangalore,
"When is the sun going to set in London, UK tonight",sun going to set,,"London, UK",tonight
"When is the sun going to rise in Santa Monica, US on Monday?",sun going to rise,Monday,"Santa Monica, US",
When is the sun going to set today,sun going to set,today,,
When is the sunset tomorrow in New York,sunset,tomorrow,New York,
When is sun going to set day after tomorrow,sun going to set,day after tomorrow,,
Do I need an umbrella for day after tomorrow,umbrella,day after tomorrow,,
Do I need an umbrella for saturday morning,umbrella,saturday,,morning
What's the weather going to be like in Madrid tomorrow,,tomorrow,Madrid,
What's the weather going to be like in New York this afternoon,,,New York,afternoon
What's the weather going to be like in Boston today,,today,Boston,
Is there is a chance of rain tomorrow,rain,tomorrow,,
What's the temperature outside,,,,
Is it windy outside,windy,,,
what will be the low temperature tonight,,,,tonight
how cold will it get tonight,cold,,,tonight
what will be the weekend weather in tel aviv,,weekend,tel aviv,
is it going to be cold tonight,cold,,,tonight
what's the temperature outside right now,,,,
