MusicPlayResponse,MusicPlayAlbumArtistSong,MusicPlaySongAlbum,MusicPlayAlbumArtist,MusicPlaySong,MusicPlayArtist,MusicPlayAlbum,MusicPlayEra,MusicPlayGenre,MusicPlayMood,MusicPlayCollection,MusicPlayKeyword,MusicPlayNew,MusicPlaySimilar
play something for a christmas party ,,,,,,,,,,,christmas party,,
play something for a dance workout ,,,,,,,,,,,dance workout ,,
play something for Friday at the office ,,,,,,,,,,,Friday at the office,,
play something for the weekend,,,,,,,,,,,weekend,,
play something from blake shelton's bringing back the sunshine album,,,,,blake shelton,bringing back the sunshine,,,,,,,
play something from my daily mix,,,,,,,,,,daily,,,
play something from my favorites collection,,,,,,,,,,favorites,,,
Play something from the 1970's,,,,,,,1970's,,,,,,
play something from the album boxes by goo goo dolls,,,,,goo goo dolls,boxes,,,,,,,
play something from the essential judas priest,,,the essential judas priest,,,,,,,,,,
play something like j cole,,,,,j cole,,,,,,,,like
play something like this,,,,,this,,,,,,,,like
play something more like ja rule,,,,,ja rule,,,,,,,,like
play something new by calvin harris,,,,,calvin harris ,,,,,,,new,
play something new from gwen stefani,,,,,gwen stefani ,,,,,,,new,
play something on fleek ,,,,,,,,,,,on fleek,,
play something similar ,,,,,,,,,,,,,similar
play something similar to sigala,,,,,sigala,,,,,,,,similar
play something soothing,,,,,,,,,soothing,,,,
play something to get me in a sexy mood ,,,,,,,,,sexy ,,,,
play something to run to ,,,,,,,,,,,run,,
play something to sweat my booty off to,,,,,,,,,,,sweat my booty off,,
Play something turnt ,,,,,,,,,,,turnt ,,
play something upbeat ,,,,,,,,,upbeat,,,,
play song called december 63 oh what a night,,,,december 63 oh what a night,,,,,,,,,
play song take me home country roads,,,,take me home country roads,,,,,,,,,
Play songs appropriate for a children's birthday party,,,,,,,,,,,children's birthday party ,,
Play songs by him,,,,,him,,,,,,,,
Play songs by Justin Bieber,,,,,Justin Bieber,,,,,,,,
play songs by the artist j dilla,,,,,j dilla,,,,,,,,
Play songs for hanging out at the beach,,,,,,,,,,,beach,,
play songs from 1965,,,,,,,1965,,,,,,
Play songs from 2011,,,,,,,2011,,,,,,
play songs from a better tomorrow the album by wu-tang clan,,,,,wu-tang clan,a better tomorrow,,,,,,,
play songs from i am sasha fierce,,,i am sasha fierce,,,,,,,,,,
play songs from millennium by backstreet boys,,,,,backstreet boys,millennium,,,,,,,
play songs from my favorites playlist,,,,,,,,,,favorites,,,
play songs from outkast's stankonia,,,,,outkast,stankonia,,,,,,,
Play songs from the 60s era,,,,,,,60s,,,,,,
play songs from the album fools rush in by frank sinatra,,,,,frank sinatra,fools rush in,,,,,,,
play songs from the album janet,,,,,,janet,,,,,,,
play songs from the faded album,,,,,,faded,,,,,,,
play songs from the passengers soundtrack,,,,,,passengers,,,,,,,
play songs from tyrese's album i wanna go there,,,,,tyrese,i wanna go there,,,,,,,
play songs good for a bachelor party ,,,,,,,,,,,bachelor party,,
play songs like this,,,,,this,,,,,,,,like
play songs off of sunny side up,,,,,,sunny side up,,,,,,,
play songs off of the doctor strange album,,,,,,doctor strange,,,,,,,
play songs on album afterburner from zz top,,,,,zz top,afterburner,,,,,,,
Play songs on my Prince playlist.,,,,,,,,,,Prince,,,
play songs that make you feel sensual ,,,,,,,,,sensual,,,,
Play songs that were popular in 2013,,,,,,,2013,,,,,,
play sounds of the 70s ,,,,,,,70s,,,,,,
play stuff ,,,,,,,,,,,,,
play stuff from the 60s,,,,,,,60s,,,,,,
play swedish house mafia,swedish house mafia,,,,,,,,,,,,
play t-pain's hits,,,,,t-pain,,,,,,,,
play taio cruz hits,,,,,taio cruz,,,,,,,,
play taylor swift's new song,,,,,taylor swift,,,,,,,new,
play that ,that,,,,,,,,,,,,
play this,this,,,,,,,,,,,,
play the first one,the first one,,,,,,,,,,,,
play that album called the lost children by disturbed,,,,,disturbed,the lost children,,,,,,,
play that artist,,,,,that,,,,,,,,
Play that artist ,,,,,that,,,,,,,,
Play that band,,,,,that,,,,,,,,
play that enya album and winter came,,,,,enya,and winter came,,,,,,,
play that new song by kungs,,,,,kungs,,,,,,,new,
play that odesza song bloom,,,,bloom,odesza,,,,,,,,
play that playlist,,,,,,,,,,that,,,
Play that song ,,,,that,,,,,,,,,
play that song for me,,,,that,,,,,,,,,
play that song i won't tell a soul by charlie puth,,,,i won't tell a soul,charlie puth,,,,,,,,
play the 1975,the 1975,,,,,,,,,,,,
play the 70s era music,,,,,,,70s,,,,,,
play the adele album 21,,,,,adele,21,,,,,,,
Play the album 50 cent is the future by 50 cent ,,,,,50 cent,50 cent is the future,,,,,,,
play the album 55,,,,,,55,,,,,,,
play the album abba made called waterloo,,,,,abba,waterloo,,,,,,,
play the album called she wolf please,,,,,,she wolf,,,,,,,
play the album called synchronicity by the police,,,,,the police,synchronicity,,,,,,,
Play the album dani california by red hot chili peppers,,,,,red hot chili peppers,dani california,,,,,,,
Play the album i cry when i laugh,,,,,,i cry when i laugh,,,,,,,
play the album in between dreams from jack johnson,,,,,jack johnson,in between dreams,,,,,,,
Play the album lasers,,,,,,lasers,,,,,,,
play the album my way by usher,,,,,usher,my way,,,,,,,
play the album named everything is 4,,,,,,everything is 4,,,,,,,
play the album they made called sounds good feels good,,,,,they,sounds good feels good,,,,,,,
play the album titled what if,,,,,,what if,,,,,,,
play the album toni braxton by toni braxton,,,,,toni braxton,toni braxton,,,,,,,
Play the album when the storms would come,,,,,,when the storms would come,,,,,,,
play the artist called rae sremmurd,,,,,rae sremmurd,,,,,,,,
play the artist ll cool j,,,,,ll cool j,,,,,,,,
play the band called group 1 crew,,,,,group 1 crew,,,,,,,,
play the band new kids on the block ,,,,,new kids on the block ,,,,,,,,
play the band the mamas and the papas,,,,,the mamas and the papas,,,,,,,,
play the best latin jazz,,,,,,,,latin jazz,,,,,
play the big rich greatest hits album,,,,,big rich,greatest hits,,,,,,,
Play the billboard hot 100 ,,,,,,,,,,,billboard,,
Play the Black Album by Jay-Z,,,,,Jay-Z,Black Album,,,,,,,
play the bruno mars song versace on the floor,,,,versace on the floor,Bruno Mars,,,,,,,,
play the clapton album by eric clapton,,,,,eric clapton,clapton,,,,,,,
play the fat joe station,,,,,fat joe,,,,,,,,station
play the fetty wap song trap luv,,,,trap luv,fetty wap,,,,,,,,
play the first album,,,,,,first,,,,,,,
play the first artist,,,,,first,,,,,,,,
play the first playlist,,,,,,,,,,first,,,
play the fitz and the tantrums song handclap,,,,handclap,fitz and the tantrums,,,,,,,,
play the garage punk genre,,,,,,,,garage punk,,,,,
Play the genre southern crunk,,,,,,,,southern crunk,,,,,
play the girl is mine from thriller,,,thriller,the girl is mine,,,,,,,,,
Play the global top 50 ,,,,,,,,,,,global top 50 ,,
Play the greatest hits from 1966,,,,,,,1966,,,,,,
play the hailee steinfeld song love myself,,,,love myself,hailee steinfeld,,,,,,,,
play the hits by the countdown kids,,,,,the countdown kids,,,,,,,,
Play the hits from 1977,,,,,,,1977,,,,,,
play the katy perry song that just dropped,,,,,katy perry,,,,,,,just,
play the kendrick lamar song called the blacker the berry,,,,the blacker the berry,kendrick lamar,,,,,,,,
play the last album daft punk did,,,,,daft punk,,,,,,,last,
play the last album from david bowie,,,,,david bowie,,,,,,,last,
play the latest album of sheryl crow,,,,,sheryl crow,,,,,,,latest ,
play the latest from avicii,,,,,avicii,,,,,,,latest,
play the latest of busta rhymes,,,,,busta rhymes,,,,,,,latest ,
play the latest paloma faith single,,,,,paloma faith,,,,,,,latest,
play the latest single from remy ma,,,,,remy ma,,,,,,,latest,
play the lumineers song cleopatra,,,,cleopatra,the lumineers,,,,,,,,
play the miseducation of lauryn hill,the miseducation of lauryn hill,,,,,,,,,,,,
play the missy elliott album under construction,,,,,missy elliott,under construction,,,,,,,
play the moana soundtrack,,,,,,moana,,,,,,,
play the monica album code red,,,,,monica,code red,,,,,,,
play the most popular songs by cheat codes,,,,,cheat codes,,,,,,,,
Play the most recent music from the black eyed peas.,,,,,black eyed peas,,,,,,,recent,
play the musician the classic rock machine,,,,,the classic rock machine,,,,,,,,
play the new afrojack record,,,,,afrojack,,,,,,,new,
play the new music by tove lo,,,,,tove lo,,,,,,,new,
play the new one by childish gambino,,,,,childish gambino,,,,,,,new,
play the new song by korn,,,,,korn,,,,,,,new,
play the new song by lil jon,,,,,lil jon ,,,,,,,new,
play the new song by oingo boingo,,,,,oingo boingo,,,,,,,new,
play the newest by jessie j,,,,,jessie j,,,,,,,newest,
play the newest jack white album,,,,,jack white,,,,,,,newest,
Play the newest song by Alicia Keys,,,,,Alicia Keys,,,,,,,newest,
play the newest song by tone-loc,,,,,tone-loc,,,,,,,newest ,
play the newest song from him,,,,,him,,,,,,,newest,
play the playlist I have called romantic songs,,,,,,,,,,romantic songs,,,
Play the playlist my hits,,,,,,,,,,my hits,,,
play the polyphonic spree's songs,,,,,the polyphonic spree,,,,,,,,
play the record he did called kendrick lamar,,,,,he,kendrick lamar,,,,,,,
play the record nine track mind by charlie puth,,,,,charlie puth,nine track mind,,,,,,,
play the roots newest song,,,,,the roots,,,,,,,newest ,
play the seal self-titled album,,,,,,seal,,,,,,,
play the second album,,,,,,second,,,,,,,
play the second artist,,,,,second,,,,,,,,
play the selena gomez song that just came out,,,,,selena gomez,,,,,,,just,
Play the set Women Crush Wednesday ,,,,,,,,,,,Women Crush Wednesday ,,
play the singer chocquibtown,,,,,chocquibtown,,,,,,,,
play the someday at christmas album,,,,,,someday at christmas,,,,,,,
play the song artpop,,,,artpop,,,,,,,,,
play the song brave new girl ,,,,brave new girl,,,,,,,,,
play the song cake by the ocean by artist dnce,,,,cake by the ocean,dnce,,,,,,,,
play the song called gimme gimme gimme,,,,gimme gimme gimme,,,,,,,,,
play the song country willie,,,,country willie,,,,,,,,,
Play the song Hands Clean by Alanis Morissette,,,,Hands Clean,Alanis Morissette,,,,,,,,
play the song human by the artist rag'n bone man,,,,human,rag'n bone man,,,,,,,,
play the song i'm just sayin by karmin,,,,i'm just sayin,karmin,,,,,,,,
play the song it's my birthday,,,,it's my birthday,,,,,,,,,
play the song mark ronson just released,,,,,mark ronson,,,,,,,just,
play the song new shoes,,,,new shoes,,,,,,,,,
play the song new years day ,,,,new years day,,,,,,,,,
play the song silicon valley from anderson paak,,,anderson paak,silicon valley,,,,,,,,,
play the song something just like this,,,,something just like this,,,,,,,,,
play the song that just came out from trick daddy,,,,,trick daddy,,,,,,,just,
play the song this is just a modern rock song,,,,this is just a modern rock song,,,,,,,,,
play the song titled the boys are back in town,,,,the boys are back in town,,,,,,,,,
play the songs from my daily mix playlist,,,,,,,,,,daily mix,,,
play the songs from the electric lady,,,the electric lady,,,,,,,,,,
play the soundtrack from free willy,,,,,,free willy,,,,,,,
play the soundtrack to the girl on the train,,,,,,the girl on the train,,,,,,,
play the third album,,,,,,third,,,,,,,
Play the top charts ,,,,,,,,,,,top charts ,,
Play the top of the pops,,,,,,,,,,,top of the pops,,
play the top songs by sisqo,,,,,sisqo,,,,,,,,
play the top songs from 2004,,,,,,,2004,,,,,,
play the top songs of thievery corporation,,,,,thievery corporation,,,,,,,,
play the track,,,,the track,,,,,,,,,
play the track called let there be rock,,,,let there be rock,,,,,,,,,
play the track flowers in your hair by him,,,,flowers in your hair,him,,,,,,,,
play the track i don't want to miss a thing,,,,i don't want to miss a thing,,,,,,,,,
play the track somebody by emeli sande,,,,somebody,emeli sande,,,,,,,,
Play the track Someone Like You from Adele,,,Adele,Someone Like You,,,,,,,,,
play the track something in the way you move from ellie goulding,,,ellie goulding,something in the way you move,,,,,,,,,
play the twilight soundtrack,,,,,,twilight,,,,,,,
play the tyga album that just dropped,,,,,tyga ,,,,,,,just,
play their album called notes from the underground,,,,,their,notes from the underground,,,,,,,
Play their hit song summer of 69,,,,summer of 69,their,,,,,,,,
play their latest track,,,,,their,,,,,,,latest,
Play their music,,,,,their,,,,,,,,
play their song i like it when you sleep for you are so beautiful yet so unaware of it,,,,i like it when you sleep for you are so beautiful yet so unaware of it,their,,,,,,,,
Play their song Sunday bloody Sunday,,,,Sunday bloody Sunday,their,,,,,,,,
play their song that just released,,,,,their,,,,,,,just,
Play their songs,,,,,their,,,,,,,,
play these,these,,,,,,,,,,,,
play this,this,,,,,,,,,,,,
play this album,,,,,,this,,,,,,,
Play this artist ,,,,,this,,,,,,,,
play this collection,,,,,,,,,,this,,,
Play this song,,,,this,,,,,,,,,
Play this track ,,,,this,,,,,,,,,
play those ,those,,,,,,,,,,,,
play three 6 mafia's music,,,,,three 6 mafia,,,,,,,,
play thriller the song,,,,thriller,,,,,,,,,
play time after time,time after time,,,,,,,,,,,,
Play today's hits ,,,,,,,,,,,today's hits ,,
play too close by alex clare,,too close,,,alex clare,,,,,,,,
play top hits of mariah carey,,,,,mariah carey ,,,,,,,,
Play top songs by John Legend,,,,,John Legend,,,,,,,,
play top songs from 1964,,,,,,,1964,,,,,,
play top songs from imagine dragons,,,,,imagine dragons ,,,,,,,,
play toy the album from yello,,,,,yello,toy,,,,,,,
play track one way or another,,,,one way or another,,,,,,,,,
play tracks by the artist ulices chaidez y sus plebes,,,,,ulices chaidez y sus plebes,,,,,,,,
play tracks from the essential ozzy osbourne,,,the essential ozzy osbourne,,,,,,,,,,
play trap tunes from 2000,,,,,,,2000,trap,,,,,
play tunes for pre-game,,,,,,,,,,,pre-game,,
play tupac's 2pacalypse now,,2pacalypse now,,,tupac,,,,,,,,
play uncle kracker's latest album ,,,,,uncle kracker,,,,,,,latest ,
Play unorthodox jukebox,unorthodox jukebox,,,,,,,,,,,,
play us the song we are family,,,,we are family,,,,,,,,,
play video killed the radio star,video killed the radio star,,,,,,,,,,,,
play what i like about you by the band 5 seconds of summer,,what i like about you,,,5 seconds of summer,,,,,,,,
play whatever ,,,,,,,,,,,,,
play yg's tunes,,,,,yg,,,,,,,,
play young the giant's amerika,,amerika,,,young the giant,,,,,,,,
plays some melissa etheridge tunes,,,,,melissa etheridge,,,,,,,,
please can you play killing me softly with his song,killing me softly with his song,,,,,,,,,,,,
please play dewayne woods,dewayne woods,,,,,,,,,,,,
please play his new album,,,,,his,,,,,,,new,
Please play hotel california,hotel california,,,,,,,,,,,,
please play iron maiden's the book of souls album,,,,,iron maiden,the book of souls,,,,,,,
please play make you feel my love,make you feel my love,,,,,,,,,,,,
Please play music from the seventies,,,,,,,seventies,,,,,,
please play my boo,my boo,,,,,,,,,,,,
Please play Piano Man by Billy joel,,Piano Man,,,Billy Joel,,,,,,,,
please play that album,,,,,,that,,,,,,,
please play the album called laundry service,,,,,,laundry service,,,,,,,
please play the latest from sam smith,,,,,sam smith,,,,,,,latest ,
Please play the most popular metalcore songs of the 2000s,,,,,,,2000s,metalcore,,,,,
please play the song love yourself,,,,love yourself,,,,,,,,,
please play this song,,,,this,,,,,,,,,
please put on the newest song from lorde,,,,,lorde,,,,,,,newest,
pull up my chill music collection ,,,,,,,,,,chill music,,,
pull up the album california 37,,,,,,california 37,,,,,,,
Put her music on,,,,,her,,,,,,,,
put on 30 for 30 freestyle,30 for 30 freestyle,,,,,,,,,,,,
put on a 60s station,,,,,,,60s,,,,,,
put on a rainy day mix,,,,,,,,,,,rainy day,,
put on a song called soda pop,,,,soda pop,,,,,,,,,
put on an alternative rock station,,,,,,,,alternative rock,,,,,
put on dynazty,dynazty,,,,,,,,,,,,
put on flume's song v,,,,v,flume,,,,,,,,
put on g-eazy's most recent song,,,,,g-eazy,,,,,,,recent,
put on halloween music ,,,,,,,,,,,halloween,,
Put on her songs,,,,,her,,,,,,,,
put on hey soul sister by train,,hey soul sister,,,train,,,,,,,,
put on hits from 2013,,,,,,,2013,,,,,,
put on more like this,,,,,this,,,,,,,,like
put on my country women playlist,,,,,,,,,,country women,,,
put on my girls,my girls,,,,,,,,,,,,
put on my playlist called dope beats,,,,,,,,,,dope beats,,,
put on my running songs,,,,,,,,,,running,,,
put on my workout music,,,,,,,,,,workout,,,
put on nineties tracks ,,,,,,,nineties ,,,,,,
put on planet rock by afrika bambaataa & the soulsonic force,,planet rock,,,afrika bambaataa & the soulsonic force,,,,,,,,
put on sexy jams,,,,,,,,,sexy ,,,,
put on similar artists to eric benet,,,,,eric benet,,,,,,,,similar
put on similar artists to faith evans,,,,,faith evans,,,,,,,,similar
put on some 80s ska,,,,,,,80s,ska,,,,,
put on some bands that are like them,,,,,them,,,,,,,,
put on some calming music,,,,,,,,,calming,,,,
put on some chill music,,,,,,,,,chill,,,,
put on some energetic beats,,,,,,,,,energetic,,,,
put on some music by ziggy marley,,,,,ziggy marley,,,,,,,,
put on some music for a romantic dinner,,,,,,,,,,,Romantic dinner,,
put on some music for the drive home ,,,,,,,,,,,drive home,,
put on some music similar to q-tip,,,,,q-tip,,,,,,,,similar
Put on some of her music,,,,,her,,,,,,,,
put on some progressive rock,,,,,,,,Progressive rock,,,,,
put on some who's laughing now by jessie j,,who's laughing now,,,jessie j,,,,,,,,
Put on something by luke bryan,,,,,luke bryan,,,,,,,,
put on something similar,,,,,,,,,,,,,similar
put on something that feels peaceful,,,,,,,,,peaceful,,,,
Put on songs from 1997,,,,,,,1997,,,,,,
Put on that song,,,,that,,,,,,,,,
put on that song by dua lipa that just came out,,,,,dua lipa,,,,,,,just,
put on the album called what dreams are made of,,,,,,what dreams are made of,,,,,,,
Put on the album sweet talker,,,,,,sweet talker,,,,,,,
put on the album tetsuo youth,,,,,,tetsuo youth,,,,,,,
put on the art of hustle,the art of hustle,,,,,,,,,,,,
put on the j lo album,,,,,,j lo,,,,,,,
put on the new single by martin solveig,,,,,martin solveig,,,,,,,new,
put on the new song by rascal flatts,,,,,rascal flatts,,,,,,,new,
put on the record dangerously in love,,,,,,dangerously in love,,,,,,,
put on the record fetty wap by fetty wap,,,,,fetty wap,fetty wap,,,,,,,
put on the shawn mendes record live at madison square garden,,,,,shawn mendes,live at madison square garden,,,,,,,
put on the song drunk in love remix,,,,drunk in love remix,,,,,,,,,
put on the song someday at christmas,,,,someday at christmas,,,,,,,,,
put on the songs from mario lanza's ave maria album,,,,,mario lanza,ave maria,,,,,,,
put on the third playlist,,,,,,,,,,third,,,
put on the track is she gon pop,,,,is she gon pop,,,,,,,,,
put on their album you're not alone,,,,,their,you're not alone,,,,,,,
put on their song ugh,,,,ugh,their,,,,,,,,
put on this is me then the album,,,,,,this is me then,,,,,,,
put on x by jason derulo,,x,,,jason derulo,,,,,,,,
Put that song on,,,,that,,,,,,,,,
put that song on for me,,,,that,,,,,,,,,
put the b'day record on,,,,,,b'day,,,,,,,
put winter wonderland on,winter wonderland,,,,,,,,,,,,
Set the mood with some 50s music ,,,,,,,50s,,,,,,
Spin some 70s tunes ,,,,,,,70s,,,,,,
spin some 90s dance tunes,,,,,,,90s,dance,,,,,
spin some george clinton,george clinton,,,,,,,,,,,,
spin some tracks by babes in toyland,,,,,babes in toyland,,,,,,,,
start a ryan adams radio,,,,,ryan adams,,,,,,,,radio
start an ani difranco station,,,,,ani difranco,,,,,,,,station
start my barbra streisand radio,,,,,barbra streisand,,,,,,,,radio
start my girl power collection,,,,,,,,,,girl power,,,
start my Good vibes playlist,,,,,,,,,,Good vibes,,,
start playing julian casablancas,julian casablancas,,,,,,,,,,,,
start playing the all time favorites playlist,,,,,,,,,,all time favorites,,,
start playing the song it's the most wonderful time of the year,,,,it's the most wonderful time of the year,,,,,,,,,
start playing what i like about you,what i like about you,,,,,,,,,,,,
start playing you are the sunshine of my life by new york jazz lounge,,you are the sunshine of my life,,,new york jazz lounge,,,,,,,,
start the song na na na,,,,na na na,,,,,,,,,
start up my Rap Songs collection,,,,,,,,,,Rap Songs,,,
play tunes from the 80s,,,,,,,80s,,,,,,
play hit music from the 80s,,,,,,,80s,,,,,,
tune into some k-pop,,,,,,,,k-pop,,,,,
put on a gothic rock station,,,,,,,,gothic rock,,,,,
put on his artist radio,,,,,his,,,,,,,,
put on some 60s blues classics,,,,,,,60s,blues,,,,,
put on some 90s hip hop jams,,,,,,,90s,hip hop ,,,,,
put on some baby making tunes ,,,,,,,,,,,baby making ,,
put on some cantopop,,,,,,,,cantopop,,,,,
put on some experimental music,,,,,,,,experimental,,,,,
put on some good 80s rap ,,,,,,,80s,rap,,,,,
put on some hot pool party music ,,,,,,,,,,,pool party,,
play the second playlist,,,,,,,,,,second,,,
play 90s goth radio,,,,,,,90s,goth,,,,,
play me some gospel music,,,,,,,,gospel,,,,,
play the top songs of 1996,,,,,,,1996,,,,,,
what did music in the 80s sound like,,,,,,,80s,,,,,,
play tupac's 2pacalypse now,,2pacalypse now,,,tupac,,,,,,,,
play 3am from meghan trainor,,3am,meghan trainor,,,,,,,,,,
play every time you throw dirt on her you lose a little ground by fall out boy,,every time you throw dirt on her you lose a little ground,,,fall out boy,,,,,,,,
play her thinkin i'm doin her wrong ain't doin me right by fall out boy,,her thinkin i'm doin her wrong ain't doin me right,,,fall out boy,,,,,,,,
play you don't know what you're missing by fall out boy,,you don't know what you're missing,,,fall out boy,,,,,,,,
play this ain't a scene it's an arms race by fall out boy,,this ain't a scene it's an arms race,,,fall out boy,,,,,,,,
play headfirst slide into cooperstown on a bad bet by fall out boy,,headfirst slide into cooperstown on a bad bet,,,fall out boy,,,,,,,,
play 20 dollar nose bleed by fall out boy,,20 dollar nose bleed,,,fall out boy,,,,,,,,
play i'm like a lawyer with the way i'm always trying to get you off me you by fall out boy,,i'm like a lawyer with the way i'm always trying to get you off me you,,,fall out boy,,,,,,,,
play our lawyer made us change the name of this song so we wouldn't get sued by fall out boy,,our lawyer made us change the name of this song so we wouldn't get sued,,,fall out boy,,,,,,,,
play nobody puts baby in the corner by fall out boy,,nobody puts baby in the corner,,,fall out boy,,,,,,,,
play champagne for my real friends real pain for my sham friends by fall out boy,,champagne for my real friends real pain for my sham friends,,,fall out boy,,,,,,,,
play a change is gonna come by fall out boy,,a change is gonna come,,,fall out boy,,,,,,,,
play i slept with someone in fall out boy and all i got was this stupid song written about me by fall out boy,,i slept with someone in fall out boy and all i got was this stupid song written about me,,,fall out boy,,,,,,,,
play get busy living or get busy dying do your part to save the scene and stop going to shows by fall out boy,,get busy living or get busy dying do your part to save the scene and stop going to shows,,,fall out boy,,,,,,,,
play i'm here to get my baby out of jail by the everly brothers,,i'm here to get my baby out of jail,,,the everly brothers,,,,,,,,
play mama's don't let your babies grow up to be cowboys by travis tritt,,mama's don't let your babies grow up to be cowboys,,,travis tritt,,,,,,,,
play the blood that moves the body by a-ha,,the blood that moves the body,,,a-ha,,,,,,,,
play diamonds on the soles of her shoes by paul simon,,diamonds on the soles of her shoes,,,paul simon,,,,,,,,
play what makes you think you're the one by fleetwood mac,,what makes you think you're the one ,,,fleetwood mac,,,,,,,,
play it's so hard to say goodbye to yesterday by jason mraz,,it's so hard to say goodbye to yesterday,,,jason mraz,,,,,,,,
play me and julio down by the schoolyard by paul simon,,me and julio down by the schoolyard,,,paul simon,,,,,,,,
play 6 god by drake,,6 god,,,drake,,,,,,,,
Play Chandelier by Sia,,Chandelier,,,Sia,,,,,,,,
play familia by sophie ellis-bextor,,familia,,,sophie ellis-bextor,,,,,,,,
Play Just the Way You Are by Bruno Mars,,Just the Way You Are,,,Bruno Mars,,,,,,,,
play my oh my by macklemore & ryan lewis,,my oh my,,,macklemore & ryan lewis,,,,,,,,
play too close by alex clare,,too close,,,alex clare,,,,,,,,
play this is what you came for by calvin harris,,this is what you came for,,,calvin harris,,,,,,,,
play shout out to my ex by little mix,,shout out to my ex,,,little mix,,,,,,,,
play hymn for the weekend by coldplay,,hymn for the weekend,,,coldplay,,,,,,,,
play i feel it coming by the weeknd,,i feel it coming,,,the weeknd,,,,,,,,
play faded by alan walker,,faded,,,alan walker,,,,,,,,
play oasis by kygo,,oasis,,,kygo,,,,,,,,
play the greatest by sia,,the greatest,,,sia,,,,,,,,
play crash by usher,,crash,,,usher,,,,,,,,
play stay by kygo,,stay,,,kygo,,,,,,,,
play change by j cole,,change,,,j cole,,,,,,,,
play no by meghan trainor,,no,,,meghan trainor,,,,,,,,
play i'll be home for christmas by pentatonix,,i'll be home for christmas,,,pentatonix,,,,,,,,
play walls by kings of leon,,walls,,,kings of leon,,,,,,,,
play sick love by red hot chili peppers,,sick love,,,red hot chili peppers,,,,,,,,
play want to want me by jason derulo,,want to want me,,,jason derulo,,,,,,,,
play one call away by charlie puth,,one call away,,,charlie puth,,,,,,,,
play all that you can't leave behind by u2,,all that you can't leave behind,,,u2,,,,,,,,
play all I want is you by u2,,all I want is you,,,u2,,,,,,,,
play make you feel my love by adele,,make you feel my love,,,adele,,,,,,,,
play fergalicious by fergie,,fergalicious,,,fergie,,,,,,,,
play love me now by john legend,,love me now,,,john legend,,,,,,,,
play i can't quit you baby by the rolling stones,,i can't quit you baby,,,the rolling stones,,,,,,,,
play side by side by ariana grande,,side by side,,,ariana grande,,,,,,,,
play fine by me by chris brown,,fine by me,,,chris brown,,,,,,,,
play take the world by storm by lukas graham,,take the world by storm,,,lukas graham,,,,,,,,
play stand by you by rachel platten,,stand by you,,,rachel platten,,,,,,,,
play I'll stand by you by the pretenders,,I'll stand by you,,,the pretenders,,,,,,,,
play by your side by sade,,by your side,,,sade,,,,,,,,
play bye bye bye by nsync,,bye bye bye,,,nsync,,,,,,,,
play by the way by Red Hot Chili Peppers,,by the way,,,Red Hot Chili Peppers,,,,,,,,
play all by myself by celine dion,,all by myself,,,celine dion,,,,,,,,
play cake by the ocean by dnce,,cake by the ocean,,,dnce,,,,,,,,
play fun by pitbull,,fun,,,pitbull,,,,,,,,
play who by disturbed,,who,,,disturbed,,,,,,,,
play X by ed sheeran,,X,,,ed sheeran,,,,,,,,
play 9 by drake,,9,,,drake,,,,,,,,
play rise by solange,,rise,,,solange,,,,,,,,
play party by beyonce,,party,,,beyonce,,,,,,,,
play some nights by fun,,some nights,,,fun,,,,,,,,
play 3005 by childish gambino,,3005,,,childish gambino,,,,,,,,
play the way you make me feel by michael jackson,,the way you make me feel,,,michael jackson,,,,,,,,
play the night me and your mama met by childish gambino,,the night me and your mama met,,,childish gambino,,,,,,,,
play i'm in love with a monster by fifth harmony,,i'm in love with a monster,,,fifth harmony,,,,,,,,
play views by drake,,views,,,drake,,,,,,,,
play every teardrop is a waterfall by coldplay,,every teardrop is a waterfall,,,coldplay,,,,,,,,
play don't forget where you belong by one direction,,don't forget where you belong,,,one direction,,,,,,,,
play the one that got away by katy perry,,the one that got away,,,katy perry,,,,,,,,
play i will always love you by whitney houston,,i will always love you,,,whitney houston,,,,,,,,
play setting the world on fire by kenny chesney,,setting the world on fire,,,kenny chesney,,,,,,,,
play pusher love girl by justin timberlake,,pusher love girl,,,justin timberlake,,,,,,,,
play a place for my head by linkin park,,a place for my head,,,linkin park,,,,,,,,
play if you could see me now by the script,,if you could see me now,,,the script,,,,,,,,
play a place for us by fitz and the tantrums,,a place for us,,,fitz and the tantrums,,,,,,,,
play summertime sadness by lana del rey,,summertime sadness,,,lana del rey,,,,,,,,
play cruise by florida georgia line,,cruise,,,florida georgia line,,,,,,,,
play keeper of the flame by miranda lambert,,keeper of the flame,,,miranda lambert,,,,,,,,
play this cocaine makes me feel like i'm on this song by system of a down,,this cocaine makes me feel like i'm on this song,,,system of a down,,,,,,,,
play the 59th street bridge song by simon & garfunkel,,the 59th street bridge song,,,simon & garfunkel,,,,,,,,
play i will never let you down by rita ora,,i will never let you down,,,rita ora,,,,,,,,
play would you still be there by of mice and men,,would you still be there,,,of mice and men,,,,,,,,
play have yourself a merry little christmas by pentatonix,,have yourself a merry little christmas,,,pentatonix,,,,,,,,
play run away with me by carly rae jepsen,,run away with me,,,carly rae jepsen,,,,,,,,
play swept away by the xx,,swept away,,,the xx,,,,,,,,
play punky reggae party by bob marley,,punky reggae party,,,bob marley,,,,,,,,
play postcards from far away by coldplay,,postcards from far away,,,coldplay,,,,,,,,
