calendarCreateEvent,calendarEvent,calendarTvShow,calendarConcert,calendarSport,calendarDate,calendarTime,calendarTitle,calendarAttendees,calendarLocation,calendarDuration,calendarRecurrence
remind me to buy mariah carey concert tickets,,,,,,,buy mariah carey concert tickets,,,,
remind me to buy the kids snacks for the competition,,,,,,,buy the kids snacks for the competition ,,,,
remind me to call mom at 3pm,,,,,,3pm,call mom,,,,
remind me to call my parents every Sunday evening,,,,,sunday,evening,call my parents,,,,every
remind me to discuss the quarterly reports with manfred knox,,,,,,,discuss the quarterly reports,manfred knox,,,
remind me to make an appointment with the doctor tomorrow,,,,,tomorrow,,make an appointment with the doctor,,,,
remind me to meet with alison cooper,,,,,,,,alison cooper,,,
remind me to pick up cake from Inorbit Mall at 5pm,,,,,,5pm,pick up cake,,,,
remind me to set up happy hour with Anastasia Lewis for 20 minutes,,,,,,,set up happy hour,Anastasia Lewis,,20 minutes,
remind me to shop for oscar party,,,,,,,shop for oscar party ,,,,
remind me to take fluffy to the vet,,,,,,,take fluffy to the vet,,,,
remind me to take grandma to the doctor ,,,,,,,take grandma to the doctor,,,,
remind me to watch the second show,second,,,,,,,,,,
remind me to watch this show,,this show,,,,,,,,,
remind me tonight to buy snapchat stock,,,,,,tonight,buy snapchat stock,,,,
remind to watch game of thrones on Sunday,,,,,sunday,,watch game of thrones,,,,
Schedue picnic with suzie on my calendar,,,,,,,picnic,suzie,,,
Schedule 30min meeting with my lawyer at Fat Burger on March 4th at 10am,,,,,March 4th,10am,,my lawyer,fat burger,30min,
schedule a 15 minute one on one with martha aroons,,,,,,,one on one,martha aroons,,15 minute,
schedule a 30 minutes haircut with Jimmy john on February 9th at 11am on 8th and fairfax,,,,,february 9th,11am,haircut,jimmy john,8th and fairfax,30 minutes,
Schedule a 45min waxing for February 14th in Santa Monica at 4:30pm,,,,,February 14th ,4:30pm,Waxing,,santa monica,45min,
schedule a call with Kiran on Wednesday at 6pm,,,,,Wednesday,6pm,,Kiran,,,
schedule a call with Ranu at 8am Thursday ,,,,,Thursday,8am,,Ranu,,,
schedule a daily event,,,,,,,,,,,daily
Schedule a daily jog with Cameron,,,,,,,jog,cameron,,,daily
Schedule a dentist appointment for october 10 at noon for one hour ,,,,,october 10,noon,Dentist appointment,,,one hour,
Schedule a dentist appointment on Tuesday,,,,,tuesday,,Dentist appointment,,,,
Schedule a Doctors appointment for next thursday at 11 a.m.,,,,,next thursday,11 a.m.,Doctors Appointment,,,,
schedule a hair appointment at the salon on 5th street for november 5th at 5pm,,,,,november 5th,5pm,hair appointment,,salon on 5th street,,
Schedule a massage at Tony's at 3:30pm on September 12th,,,,,september 12th,3:30pm,massage,,Tony's,,
schedule a meet up with Pooja for 5pm,,,,,,5pm,,Pooja,,,
schedule a meeting for that time,,,,,,that time,,,,,
schedule a meeting for then,,,,,,then,,,,,
schedule a meeting in the fish bowl,,,,,,,,,fish bowl,,
schedule a meeting that day at 5pm,,,,,that day,5pm,,,,,
schedule a meeting with Becky de peters then,,,,,,then,,Becky de peters,,,
schedule a meeting with Deepika then,,,,,,then,,deepika,,,
schedule a meeting with him,,,,,,,,him,,,
schedule a meeting with Monica to discuss UX design for 30 minutes,,,,,,,UX design,Monica,,30 minutes,
schedule a morning jog with cathy koonz on my calendar every Tuesday 9am,,,,,Tuesday,9am,morning jog,cathy koonz,,,every
Schedule a Napa trip with Frankie every week,,,,,,,napa trip,frankie,,,every week
schedule a one hour meeting with phileda jones tomorrow at 10am at central downtown,,,,,tomorrow,10am,,Phileda jones,central downtown,one hour,
schedule a one on one with hai yang chu,,,,,,,,hai yang chu,,,
schedule a one on one with him,,,,,,,,him,,,
Schedule a prep meeting every Monday with louise,,,,,monday,,prep meeting,louise,,,every
Schedule a rehearsal for august 12th,,,,,august 12th,,rehearsal,,,,
Schedule a spa day for Saturday,,,,,Saturday,,spa day,,,,
schedule a sync up with Brian adams for 1 hour on Tuesday,,,,,Tuesday,,,Brian adams,,1 hour,
schedule a sync up with Krystal,,,,,,,,Krystal,,,
schedule a sync up with melina marx,,,,,,,,melina marx,,,
Schedule a sync up with the product team at 6pm,,,,,,6pm,,product team,,,
schedule a three hour event please,,,,,,,,,,three hour,
schedule a trip to malibu canyon,,,,,,,trip to malibu canyon,,,,
schedule a vet's visit for that day on 3pm,,,,,that day,3pm,vet's visit,,,,
schedule a weekly pedicure with Nancy,,,,,,,pedicure,nancy,,,weekly
schedule a weekly spa session with sandy lorrell for Tuesdays 4pm at Wi Spa,,,,,tuesdays,4pm,spa session,sandy lorrell,Wi Spa,,weekly
Schedule an anniversary picnic with carl banks this sunday at central park for 2 hours,,,,,sunday,,anniversary picnic,carl banks,central park,2 hours,
schedule an appointment,,,,,,,,,,,
schedule an appointment with the finance team on Monday,,,,,Monday,,,finance team,,,
Schedule an audition with Universal studio at 7:45am,,,,,,7:45am,audition,universal studio,,,
schedule an event,,,,,,,,,,,
schedule an event called fireworks on the charles,,,,,,,fireworks on the charles,,,,
schedule an event in building E456,,,,,,,,,building E456,,
Schedule an hour long manicure at nail Salon on April 23rd at 2:15pm,,,,,April 23rd,2:15pm,manicure,,nail salon,an hour,
Schedule an hour long meeting with Chad dolar at soho house at 7pm on July 21st,,,,,July 21st,7pm,,chad dolar,soho house,an hour,
schedule an interview with mike on the 20th of january at 2pm at Google for 45min,,,,,20th of January,2pm,interview,mike,google,45min,
schedule anniversary lunch with tammy le on april 14th from 3pm at Ramen House,,,,,april 14th,3pm,anniversary lunch,tammy le,ramen house,,
Schedule appointment with Helga at 9am,,,,,,9am,,helga,,,
schedule band practice at Suzie's house at 6:30pm for 4 hours on march 1st with Johnny walker,,,,,march 1st,6:30pm,band practice,Johnny walker,suzie's house,4 hours,
Schedule biweekly shopping with Eve,,,,,,,shopping,eve,,,biweekly
Schedule brainstorming session at 5pm for 1 hour,,,,,,5pm,brainstorming session,,,1 hour,
schedule bubble bath at home for 5pm on Sunday,,,,,Sunday,5pm,bubble bath,,home,,
Schedule bubble video with Serena williams in milk studios,,,,,,,bubble video,serena williams,milk studios,,
Schedule bungee jumping with Lebron james in LA canyon,,,,,,,bungee jumping,lebron james,la canyon,,
Schedule buy paper towels with Yana every Tuesday,,,,,tuesday,,buy paper towels,yana,,,every
Schedule call with Dave lavery on november 9 at 10am,,,,,november 9,10am,call,dave lavery,,,
schedule check up meeting with grace in long beach office,,,,,,,check up meeting,grace,long beach office,,
Schedule dance practice with Jake Tupper and make it daily,,,,,,,dance practice,jake tupper,,,daily
Schedule dinner with John and Mary tomorrow at 8pm,,,,,tomorrow,8pm,dinner,john and mary,,,
Schedule dinner with Luke lee-wing at 7 pm every night,,,,,,7 pm,dinner,luke lee-wing,,,every night
Schedule dinner with my wife on Monday 7pm,,,,,Monday,7pm,dinner,my wife,,,
Schedule donation drop off with Bob at salvation army,,,,,,,Donation drop off,Bob,salvation army,,
schedule Drake concert at Milk studio at 6pm tonight,,,,,,6pm,drake concert,,milk studio,,
Schedule eat grapes with grandma at mom's house,,,,,,,eat grapes,grandma,mom's house,,
Schedule Empire Party on February 20th,,,,,February 20th,,Empire party,,,,
Schedule Empire show party every Tuesdays 8pm with squad at my house for 1 hour,,,,,Tuesdays,8pm,empire show party,squad,my house,1 hour,
schedule every Tuesday 3pm a project meeting with the music production team at record plant,,,,,Tuesday,3pm,project meeting,music production team,record plant,,every
schedule film premiere on 9th of december with jeremy lews,,,,,9th of december,,film premiere,jeremy lews,,,
schedule flight to miami for Friday night,,,,,Friday,night,flight to miami,,,,
Schedule foot massage with David on a weekly basis,,,,,,,foot massage,david,,,weekly
Schedule get together at town hall at 9 o'clock on August 24th,,,,,august 24th,9 o'clock,get together,,town hall,,
Schedule girls night out with Christina Friday at 10:00 pm,,,,,Friday,10:00 pm,girls night out,christina,,,
schedule groceries with mama benson at trader joe's at noon every day,,,,,,noon,groceries,mama benson,trader joe's,,every day
Schedule high school reunion at Noodle House on December 28th at 7pm,,,,,December 28th,7pm,high school reunion,,noodle house,,
Schedule interview for tomorrow at 9am for 1 hour at Starbucks with john marcos,,,,,tomorrow,9am,interview,john marcos,Starbucks,1 hour,
Schedule job interview on January 7th with delta brothers,,,,,january 7th,,job interview,delta brothers,,,
Schedule kids soccer match on Sunday noon,,,,,Sunday,noon,kids soccer match,,,,
Schedule legal meeting with bob at 2:00 pm every week,,,,,,2:00 pm,legal meeting,bob,,,every week
Schedule lip waxing with Bobby at salon st claire,,,,,,,lip waxing,bobby,salon st claire,,
Schedule location scout with Bob,,,,,,,location scout,Bob,,,
Schedule lunch at Subway with Karen ,,,,,,,lunch,karen,subway,,
Schedule marathon race at central park at 5am on the 7th of November 2017,,,,,7th of november 2017,5am,marathon race,,central park,,
Schedule mary's school recital on September 15th for 6pm at st martha's,,,,,September 15th,6pm,mary's school recital,,st martha's,,
Schedule meeting at Mcdonalds with Don lewis,,,,,,,,don lewis,mcdonalds,,
schedule meeting with alan meng,,,,,,,,alan meng,,,
Schedule meeting with Camille at Burger King,,,,,,,,camille,Burger king,,
Schedule movie night every Thursday with Lala,,,,,thursday,,movie night,Lala,,,every
schedule music video shoot for next Tuesday,,,,,next Tuesday,,music video shoot,,,,
schedule my london trip for Sunday,,,,,sunday,,London trip,,,,
schedule one on one with Smith for half an hour at 4pm,,,,,,4pm,,Smith,,half an hour,
Schedule party at USC with team from midnight on december 6th,,,,,december 6th,midnight,party,team,usc,,
Schedule phone call with Megan at office,,,,,,,phone call,megan,office,,
Schedule pick up Pete dunhill at airport ,,,,,,,pick up pete,pete dunhill,airport,,
schedule pool party for saturday the 18th,,,,,saturday the 18th,,pool party,,,,
Schedule read book at home on Sunday at 4:30pm,,,,,sunday,4:30pm,read book,,home,,
Schedule reunion for the 17th of April with Tommy Bevins,,,,,17th of april,,reunion,Tommy Bevins,,,
Schedule school dance for the 23rd of February and invite mom,,,,,23rd of February,,school dance,mom,,,
Schedule shoe shopping with Catherine G in Santa monica,,,,,,,shoe shopping,Catherine G,Santa monica,,
schedule something,,,,,,,,,,,
schedule something at Wednesday 3 pm,,,,,Wednesday,3 pm,,,,,
schedule something for Monday 4:00 pm,,,,,Monday,4:00 pm,,,,,
schedule something for Monday night,,,,,monday,night,,,,,
schedule something for three hours on my calendar,,,,,,,,,,three hours,
schedule something with Chandra to discuss Product Roadmap,,,,,,,Product Roadmap,Chandra,,,
Schedule Suzie potluck on Sunday and invite david brewster,,,,,Sunday,,suzie potluck,david brewster,,,
Schedule tea time with Kim at 11am,,,,,,11am,tea time,kim,,,
schedule that,that,,,,,,,,,,
Schedule the Christmas Party for Thursday at 6pm,,,,,Thursday,6pm,christmas party,,,,
schedule the company happy hour on the calendar,,,,,,,company happy hour,,,,
schedule the first one,first one,,,,,,,,,,
Schedule this on my calendar kids play date with Lilly-Ann at LACMA ,,,,,,,kids play date,lilly-ann,LACMA,,
schedule tinder date at 8pm with Ken23,,,,,,8pm,Tinder date,Ken23,,,
Schedule toe surgery at Hospital tomorrow at 4pm,,,,,tomorrow,4pm,toe surgery,,hospital,,
Schedule training session with Tom at 7 o'clock,,,,,,7 o'clock,training session,tom,,,
Schedule trip to london for march 10,,,,,march 10,,trip to london,,,,
Schedule two hour lunch meeting with Tim,,,,,,,lunch meeting,Tim,,two hour,
Schedule valentine's day dinner for tonight,,,,,,tonight,valentine's day dinner,,,,
Schedule Volleyball game with Ed,,,,,,,volleyball game,Ed,,,
Schedule wardrobe fitting with Sharon at home,,,,,,,wardrobe fitting,sharon,home,,
send a meeting request,,,,,,,,,,,
send a meeting request to carl haven,,,,,,,,carl haven,,,
send a meeting request to John,,,,,,,,John,,,
send a meeting request to Patrina,,,,,,,,Patrina,,,
send a meeting request to Ming Ming Lee,,,,,,,,Ming Ming Lee,,,
send a meeting request to deepika stein about NLU issues,,,,,,,NLU issues,deepika stein,,,
send a meeting request to Pooja for nlu discussion,,,,,,,nlu discussion,Pooja,,,
send an invite to Jane for meeting at 5pm in conference room,,,,,,5pm,,Jane,conference room,,
send calendar request to Deena Lum for 6pm next Tuesday,,,,,next Tuesday,6pm,,Deena Lum,,,
send darnell lewis a meeting request,,,,,,,,darnell lewis,,,
send her a meeting request for 5 pm tomorrow,,,,,tomorrow,5 pm,,her,,,
send invite to Rain Lewis titled meeting for October 5th at 9am,,,,,october 5th,9am,,Rain Lewis,,,
Set a 4 hour meeting on tuesday with marketing team at 2pm in room 5  ,,,,,tuesday,2pm,,marketing team,room 5,4 hour,
Set a birthday date with Yolanda at Rosco for 2 hours at 8pm tonight,,,,, ,8pm,birthday date,yolanda,rosco,2 hours,
set a reminder for fourth program,,fourth,,,,,,,,,
set a reminder for it,it,,,,,,,,,,
set a reminder for that,that,,,,,,,,,,
set a reminder for that event,that event,,,,,,,,,,
set a reminder for the first one,first one,,,,,,,,,,
set a reminder for the last option,last,,,,,,,,,,
set a reminder for the second movie,,second,,,,,,,,,
set a reminder for third movie,,third,,,,,,,,,
set a reminder for third program,,third,,,,,,,,,
set a reminder for this,this,,,,,,,,,,
set a reminder for this event,this event,,,,,,,,,,
Set a two hour arbitration meeting at my office with John Doe for October 9th at 3 pm,,,,,October 9th,3 pm,arbitration meeting,John Doe,my office,two hour,
set my wisdom tooth extraction on Friday,,,,,Friday,,wisdom tooth extraction,,,,
set something up on my calendar for Sunday,,,,,Sunday,,,,,,
set up a 2 hour haircut appointment with Carl,,,,,,,haircut appointment,Carl,,2 hour,
set up a call tomorrow with Pooja 6pm,,,,,tomorrow,6pm,,Pooja,,,
set up a call with him tomorrow,,,,,tomorrow,,call,him,,,
set up a daily standup meeting at 9am and invite conrad allen booz,,,,,,9am,standup ,conrad allen booz,,,daily
set up a meeting at 6:00 pm on march 13th,,,,,march 13th,6:00 pm,,,,,
set up a meeting at the future,,,,,,,,,future,,
set up a meeting for that time,,,,,,that time,,,,,
set up a meeting Friday with John's manager,,,,,Friday,,,John's manager,,,
set up a meeting in room 202,,,,,,,,,room 202,,
set up a meeting in the engineering room,,,,,,,,,engineering room,,
set up a meeting in the student center,,,,,,,,,student center,,
set up a meeting on Friday with Investors,,,,,Friday,,,Investors,,,
set up a meeting on Saturday for 9:00 pm,,,,,Saturday,9:00 pm,,,,,
set up a meeting that day with her,,,,,that day,,,her,,,
set up a meeting then,,,,,,then,,,,,
set up a meeting with alain ducasse Tuesday,,,,,Tuesday,,,alain ducasse,,,
set up a meeting with Andrew Jones this Sunday,,,,,Sunday,,,Andrew Jones,,,
set up a meeting with Gracenote on Monday morning,,,,,Monday,morning,,Gracenote,,,
set up a meeting with him,,,,,,,,him,,,
set up a meeting with Joakim to talk about the senate hearing with duration 1.5 hours,,,,,,,talk about the senate hearing,joakim,,1.5 hours,
set up a meeting with John,,,,,,,,John,,,
set up a meeting with John R for tomorrow,,,,,tomorrow,,,John R,,,
set up a meeting with Johnny lee-nolan for that time,,,,,,that time,,Johnny lee-nolan,,,
set up a meeting with laura watkins then,,,,,,then,,laura watkins,,,
set up a meeting with mai ling to talk about the budget for 2 hours,,,,,,,talk about the budget,mai ling,,2 hours,
set up a meeting with my lawyer on Tuesday,,,,,Tuesday,,,my lawyer,,,
set up a meeting with Sally Russell Jones next Monday 2pm,,,,,next monday,2pm,,Sally Russell Jones,,,
set up a meeting with the supply chain team next Friday,,,,,next Friday,,,supply chain team,,,
set up a meeting with tom snider then,,,,,,then,,tom snider,,,
set up a meeting with Tony Adams Monday evening,,,,,Monday,evening,,Tony Adams,,,
set up a noon meeting on september 2nd,,,,,september 2nd,noon,,,,,
Set up a one hour meeting with auditors for Friday at 9am in room 107.,,,,,Friday,9am,,Auditors,Room 107,One hour,
set up a one on one with him,,,,,,,,him,,,
set up a one on one with Jennifer Moore next Tuesday 5pm,,,,,next Tuesday,5pm,,Jennifer Moore,,,
Set up a photoshoot with Mario Lopez at 5am,,,,,,5am,photoshoot,mario lopez,,,
Set up a run at runyon canyon with sydney lo every tuesday at 7am,,,,,Tuesday,7am,run,sydney lo,runyon canyon,,every
set up a Tuesday meeting with the foundation board,,,,,Tuesday,,,the foundation board,,,
set up a Wednesday meeting with Mr Johnson,,,,,Wednesday,,,Mr Johnson,,,
set up a weekly meeting,,,,,,,,,,,weekly
set up a weekly meeting with jonathan myers and call it legal review,,,,,,,legal review,jonathan myers,,,weekly
set up an event for that time,,,,,,that time,,,,,
set up an event with vikor mukerjee,,,,,,,,vikor mukerjee,,,
Set up dinner with karen walker every friday at 7pm at shake shack for  2 hours,,,,,Friday,7pm,dinner,karen walker,shake shack,2 hours,every
setup a 4 hour meeting,,,,,,,,,,4 hour,
setup a 4pm meeting with David lee roth on Monday,,,,,Monday,4pm,,David lee roth,,,
setup a Friday 6pm meeting with Elle Magazine,,,,,Friday,6pm,,Elle Magazine,,,
setup a meeting w John Amino this Thursday for 3 hours,,,,,Thursday,,,John Amino,,3 hours,
setup a meeting with Shirla Montgomery-Watts on Wednesday at 8am,,,,,Wednesday,8am,,Shirla Montgomery-Watts,,,
Setup a review meeting with Cameron sun in Room 2 ,,,,,,,review meeting,cameron sun,room 2,,
setup a sync up with Lilly Chin on Tuesday,,,,,Tuesday,,,Lilly Chin,,,
setup a time to speak with Ryan Contoni on Thursday at 5pm,,,,,Thursday,5pm,,Ryan Contoni,,,
Setup a walk through for october 12th,,,,,october 12th,,walk through,,,,
setup booty call with Sharon at 3am,,,,,,3am,booty call,sharon,,,
Setup massage with Carlos ruiz at gold's gym,,,,,,,massage,carlos ruiz,Gold's Gym,,
setup meeting in the conference room,,,,,,,,,conference room,,
Setup tinder date with Amanda Lee at 8pm,,,,,,8pm,Tinder date,Amanda Lee,,,
start a calendar event called joan's wedding next Tuesday and share with joanna molly,,,,,next tuesday,,joan's wedding,joanna molly,,,
start an event entry for Saturday,,,,,Saturday,,,,,,
start an event on my calendar that happens every day,,,,,,,,,,,every day
start event called wedding dress shopping on Monday and share this with janna mells,,,,,Monday,,wedding dress shopping,janna mells,,,
sync up with will powers at milk studios every weekday at 10pm,,,,,,10pm,sync up,will powers,Milk studios,,every weekday
write down MIT alumni dinner on my agenda,,,,,,,MIT alumni dinner,,,,
add a calendar event for day after tomorrow,,,,,day after tomorrow,,,,,,
add a meeting with him to my calendar day after tomorrow night,,,,,day after tomorrow,night,,him,,,
Add Christmas dinner for day after tomorrow on the calendar,,,,,day after tomorrow,,christmas dinner,,,,
Add color correction session for day after tomorrow,,,,,day after tomorrow,,color correction session,,,,
add training with Josh day after tomorrow from 7am at Freedom Park,,,,,day after tomorrow,7am,training with josh,,freedom park,,
can you send her a meeting request for day after tomorrow 3 o'clock,,,,,day after tomorrow,3 o'clock,,her,,,
create a meeting with Lance black day after tomorrow for 4pm,,,,,day after tomorrow,4pm,,Lance black,,,
create event titled workout day after tomorrow at 8:30am for one hour,,,,,day after tomorrow,8:30am,workout,,,one hour,
mark an event in my schedule for 6 p.m. day after tomorrow to meet with Diane,,,,,day after tomorrow,6 p.m.,meet with Diane,,,,
put something on my calendar day after tomorrow,,,,,day after tomorrow,,,,,,
remind me to make an appointment with the doctor day after tomorrow,,,,,day after tomorrow,,make an appointment with the doctor,,,,
schedule a one hour meeting with phileda jones day after tomorrow at 10am at central downtown,,,,,day after tomorrow,10am,,Phileda jones,central downtown,one hour,
Schedule dinner with John and Mary day after tomorrow at 8pm,,,,,day after tomorrow,8pm,dinner,john and mary,,,
Schedule interview for day after tomorrow at 9am for 1 hour at Starbucks with john marcos,,,,,day after tomorrow,9am,interview,john marcos,Starbucks,1 hour,
Schedule toe surgery at Hospital day after tomorrow at 4pm,,,,,day after tomorrow,4pm,toe surgery,,hospital,,
send her a meeting request for 5 pm day after tomorrow,,,,,day after tomorrow,5 pm,,her,,,
set up a call day after tomorrow with Pooja 6pm,,,,,day after tomorrow,6pm,,Pooja,,,
set up a call with him day after tomorrow,,,,,day after tomorrow,,call,him,,,
set up a meeting with John R for day after tomorrow,,,,,day after tomorrow,,,John R,,,
create an event day after tomorrow at 5 PM,,,,,day after tomorrow,5 PM,,,,,
